policy,seed,first_boundary_crossed,second_boundary_crossed,time_to_first_boundary_h,time_to_second_boundary_h,post_first_n_plus_one_reserve_h,first_boundary_total_damage_pct,first_boundary_damage_range_pct,final_elapsed_h,final_total_damage_pct,final_damage_range_pct,start_count,assignment_change_count,crossing_order,stack_0_crossing_h,stack_1_crossing_h,stack_2_crossing_h,stack_0_final_damage_pct,stack_1_final_damage_pct,stack_2_final_damage_pct
fixed_pair,14,True,True,1206.0,1546.0,340.0,24.06998395569588,2.1206963169551623,1546.0,27.99378476479567,0.07243917120772636,3,1,"(np.int64(1), np.int64(2), np.int64(0))",,1206.0,1546.0,9.283608434742323,9.354128724103298,9.35604760595005
periodic_rotation,14,True,True,494.0,1327.0,833.0,17.424699375623355,6.864952349766259,1327.0,25.87072626764629,2.1922136980715905,23,21,"(np.int64(2), np.int64(1), np.int64(0))",,1327.0,494.0,7.162501215839658,9.354714913911248,9.353510137895386
health_greedy,14,True,True,1535.0,1543.0,8.0,27.950228196011032,0.0877037097040958,1543.0,28.014460955138325,0.055009268221676066,30,28,"(np.int64(2), np.int64(0), np.int64(1))",1543.0,,1535.0,9.356955379609742,9.301946111388066,9.35555946414052
expected_max,14,True,True,1539.0,1546.0,7.0,27.972460577972424,0.05905796510406702,1546.0,28.053974673294654,0.010386635204847394,29,27,"(np.int64(0), np.int64(2), np.int64(1))",1539.0,,1546.0,9.35504482135521,9.344658186150363,9.35427166578908
expected_total,14,True,True,1206.0,1528.0,322.0,24.06998395569588,2.1206963169551623,1528.0,27.835277657784914,0.2261043530587319,3,1,"(np.int64(1), np.int64(2), np.int64(0))",,1206.0,1528.0,9.128024371044566,9.354128724103298,9.353124562637051
expected_n_plus_one,14,True,True,342.0,1550.0,1208.0,15.823285020814787,6.6245433557124915,1550.0,28.02826528429845,0.03501533348977226,3,1,"(np.int64(2), np.int64(1), np.int64(0))",,1550.0,342.0,9.319970734328074,9.354986067817846,9.353308482152528
fixed_pair,15,True,True,1157.0,1478.0,321.0,23.87017073888584,2.318821836813229,1478.0,27.919944309295722,0.14283872470448244,3,1,"(np.int64(1), np.int64(2), np.int64(0))",,1157.0,1478.0,9.211910354481965,9.353284875627311,9.354749079186448
periodic_rotation,15,True,True,551.0,1308.0,757.0,18.382113328688305,6.256067723244997,1308.0,26.09357181356757,1.969522833251582,25,23,"(np.int64(2), np.int64(1), np.int64(0))",,1308.0,551.0,7.385352439699681,9.353344100916626,9.354875272951263
health_greedy,15,True,True,1458.0,1483.0,25.0,27.83802049001052,0.13381966361782105,1483.0,28.20837550427173,0.23090582774256418,30,28,"(np.int64(2), np.int64(0), np.int64(1))",1483.0,,1458.0,9.54212637204965,9.311220544307085,9.355028587914994
expected_max,15,True,True,1483.0,1484.0,1.0,28.20913146356408,0.2024203230515873,1484.0,28.22133250780199,0.1974505972240106,29,27,"(np.int64(1), np.int64(2), np.int64(0))",,1483.0,1484.0,9.33392668450866,9.53137728173267,9.356028541560661
expected_total,15,True,True,1157.0,1483.0,326.0,23.87017073888584,2.318821836813229,1483.0,28.157212927811315,0.3125910862428416,3,1,"(np.int64(1), np.int64(2), np.int64(0))",,1157.0,1483.0,9.245668482970581,9.353284875627311,9.558259569213423
expected_n_plus_one,15,True,True,377.0,1483.0,1106.0,15.856841866375929,6.843262035822388,1483.0,28.162756147381785,0.3033206025800492,3,1,"(np.int64(2), np.int64(1), np.int64(0))",,1483.0,377.0,9.189994649906843,9.493315252486893,9.479446244988047
fixed_pair,16,True,True,877.0,1166.0,289.0,22.621910346091642,3.6822454477578326,1166.0,25.951466038276383,2.226400671889494,3,1,"(np.int64(1), np.int64(2), np.int64(0))",,877.0,1166.0,7.184465812813021,9.410866484702515,9.356133740760848
periodic_rotation,16,True,True,499.0,980.0,481.0,18.748182364436037,6.796299880021925,980.0,23.737836445042902,4.33683977129923,23,21,"(np.int64(2), np.int64(1), np.int64(0))",,980.0,499.0,5.022230781034967,9.356535111673736,9.359070552334197
health_greedy,16,True,True,1166.0,1199.0,33.0,26.008010541184547,2.4599478248889044,1199.0,26.338254178810043,2.3040037075348048,26,24,"(np.int64(2), np.int64(1), np.int64(0))",,1199.0,1166.0,7.34040993016712,9.353430610940999,9.644413637701925
expected_max,16,True,True,1166.0,1194.0,28.0,25.99797764657332,2.430373079303201,1194.0,26.29750218782293,2.2894935271421257,24,22,"(np.int64(2), np.int64(1), np.int64(0))",,1194.0,1166.0,7.325345364974096,9.35731793073261,9.614838892116222
expected_total,16,True,True,877.0,1166.0,289.0,22.621910346091642,3.6822454477578326,1166.0,25.951466038276383,2.226400671889494,3,1,"(np.int64(1), np.int64(2), np.int64(0))",,877.0,1166.0,7.184465812813021,9.410866484702515,9.356133740760848
expected_n_plus_one,16,True,True,175.0,1166.0,991.0,14.98484279104714,7.469084716685491,1166.0,25.931855509774905,2.2065658363936604,3,1,"(np.int64(2), np.int64(1), np.int64(0))",,1166.0,175.0,7.184465812813021,9.391031649206681,9.356358047755204
fixed_pair,17,True,True,1097.0,1429.0,332.0,24.03486180016653,2.1549550901549397,1429.0,27.946468126803346,0.11807238829218569,3,1,"(np.int64(1), np.int64(2), np.int64(0))",,1097.0,1429.0,9.237349352786323,9.353697032938513,9.355421741078509
