policy,effective_policy,seed,first_boundary_crossed,second_boundary_crossed,time_to_first_boundary_h,time_to_second_boundary_h,post_first_n_plus_one_reserve_h,first_boundary_total_damage_pct,first_boundary_damage_range_pct,final_elapsed_h,final_total_damage_pct,final_damage_range_pct,start_count,assignment_change_count,crossing_order,stack_0_crossing_h,stack_1_crossing_h,stack_2_crossing_h,stack_0_final_damage_pct,stack_1_final_damage_pct,stack_2_final_damage_pct,scenario_id,category,boundary_scale,gamma_terminal_cv,risk_horizon_h,reschedule_h,evidence,local_seed,initial_damage_fraction,heterogeneity_factors
order_blend_50,order_blend_50,17,True,True,1437.0,1441.0,4.0,27.99812942356092,0.038532445739694055,1441.0,28.30209783017868,0.28190765193493483,6,4,"(np.int64(0), np.int64(1), np.int64(2))",1437.0,1441.0,,9.355348547475376,9.61432846731912,9.332420815384186,reference,reference,1.0,0.1,100.0,24.0,predeclared project setting,17,"(0.1, 0.4, 0.8)","(1.0, 1.05, 1.1)"
fixed_pair,fixed_pair,18,True,True,1079.0,1430.0,351.0,23.287942390774386,3.102423596853651,1430.0,27.157642458280893,1.160006032613584,3,1,"(np.int64(1), np.int64(2), np.int64(0))",,1079.0,1430.0,8.293965548978212,9.453971581591796,9.409705327710885,reference,reference,1.0,0.1,100.0,24.0,predeclared project setting,18,"(0.1, 0.4, 0.8)","(1.0, 1.05, 1.1)"
health_greedy,health_greedy,18,True,True,1385.0,1398.0,13.0,26.795892001163892,1.2263781709062709,1398.0,26.8954584346653,1.1808777128968693,22,20,"(np.int64(2), np.int64(1), np.int64(0))",,1398.0,1385.0,8.180266326195454,9.354048069377525,9.361144039092324,reference,reference,1.0,0.1,100.0,24.0,predeclared project setting,18,"(0.1, 0.4, 0.8)","(1.0, 1.05, 1.1)"
order_blend_50,order_blend_50,18,True,True,1079.0,1430.0,351.0,23.287942390774386,3.102423596853651,1430.0,27.157642458280893,1.160006032613584,3,1,"(np.int64(1), np.int64(2), np.int64(0))",,1079.0,1430.0,8.293965548978212,9.453971581591796,9.409705327710885,reference,reference,1.0,0.1,100.0,24.0,predeclared project setting,18,"(0.1, 0.4, 0.8)","(1.0, 1.05, 1.1)"
fixed_pair,fixed_pair,19,True,True,1059.0,1394.0,335.0,23.92142127327308,2.2704696623158265,1394.0,27.713131443197852,0.3745610508869479,3,1,"(np.int64(1), np.int64(2), np.int64(0))",,1059.0,1394.0,8.991918168369338,9.35473405557223,9.366479219256286,reference,reference,1.0,0.1,100.0,24.0,predeclared project setting,19,"(0.1, 0.4, 0.8)","(1.0, 1.05, 1.1)"
health_greedy,health_greedy,19,True,True,1362.0,1388.0,26.0,27.49667888513455,0.4804798978768119,1388.0,27.682940302383173,0.3920224198333422,23,21,"(np.int64(1), np.int64(2), np.int64(0))",,1362.0,1388.0,8.967067184771508,9.35908960460485,9.356783513006812,reference,reference,1.0,0.1,100.0,24.0,predeclared project setting,19,"(0.1, 0.4, 0.8)","(1.0, 1.05, 1.1)"
order_blend_50,order_blend_50,19,True,True,1059.0,1394.0,335.0,23.92142127327308,2.2704696623158265,1394.0,27.713131443197852,0.3745610508869479,3,1,"(np.int64(1), np.int64(2), np.int64(0))",,1059.0,1394.0,8.991918168369338,9.35473405557223,9.366479219256286,reference,reference,1.0,0.1,100.0,24.0,predeclared project setting,19,"(0.1, 0.4, 0.8)","(1.0, 1.05, 1.1)"
fixed_pair,fixed_pair,0,True,True,387.0,1392.0,1005.0,16.18444237428112,6.269760423681152,1392.0,27.24336961701666,0.8254439030208385,3,1,"(np.int64(1), np.int64(2), np.int64(0))",,387.0,1392.0,8.531051789849185,9.356495692870023,9.355822134297451,initial_stagger_perm_1,initial_health,1.0,0.1,100.0,24.0,identity permutation of the predeclared stagger,0,"(0.1, 0.8, 0.4)","(1.0, 1.05, 1.1)"
health_greedy,health_greedy,0,True,True,1370.0,1379.0,9.0,27.12263199799466,0.9228360826838866,1379.0,27.19498733596437,0.8868993605344091,24,22,"(np.int64(1), np.int64(2), np.int64(0))",,1370.0,1379.0,8.475713885426636,9.362613245961045,9.356660204576691,initial_stagger_perm_1,initial_health,1.0,0.1,100.0,24.0,identity permutation of the predeclared stagger,0,"(0.1, 0.8, 0.4)","(1.0, 1.05, 1.1)"
order_blend_50,order_blend_50,0,True,True,387.0,1392.0,1005.0,16.18444237428112,6.269760423681152,1392.0,27.24336961701666,0.8254439030208385,3,1,"(np.int64(1), np.int64(2), np.int64(0))",,387.0,1392.0,8.531051789849185,9.356495692870023,9.355822134297451,initial_stagger_perm_1,initial_health,1.0,0.1,100.0,24.0,identity permutation of the predeclared stagger,0,"(0.1, 0.8, 0.4)","(1.0, 1.05, 1.1)"
