scenario_id,category,policy,seeds,first_boundary_gain_mean_h,first_boundary_gain_ci95_low_h,first_boundary_gain_ci95_high_h,second_boundary_gain_mean_h,second_boundary_gain_ci95_low_h,second_boundary_gain_ci95_high_h,second_boundary_gain_median_h,second_boundary_wins,second_boundary_ties,second_boundary_losses,second_boundary_sign_p_one_sided,second_boundary_nonworse_share,start_count_delta_mean,assignment_change_delta_mean
heterogeneity_gp_re_high_perm_1,heterogeneity,guarded_blend,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,20,0,1.0,1.0,0.0,0.0
heterogeneity_gp_re_high_perm_2,heterogeneity,guarded_blend,20,169.65,145.5895843065897,190.75,42.25,25.4,66.8,25.5,18,1,1,3.814697265625e-05,0.95,13.8,13.8
heterogeneity_gp_re_high_perm_3,heterogeneity,guarded_blend,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,20,0,1.0,1.0,0.0,0.0
heterogeneity_gp_re_high_perm_4,heterogeneity,guarded_blend,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,20,0,1.0,1.0,0.0,0.0
heterogeneity_gp_re_high_perm_5,heterogeneity,guarded_blend,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,20,0,1.0,1.0,0.0,0.0
heterogeneity_gp_re_increased_perm_0,heterogeneity,guarded_blend,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,20,0,1.0,1.0,0.0,0.0
heterogeneity_gp_re_increased_perm_1,heterogeneity,guarded_blend,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,20,0,1.0,1.0,0.0,0.0
heterogeneity_gp_re_increased_perm_2,heterogeneity,guarded_blend,20,64.3,42.15,97.05220824533035,1.0,-17.05,16.12548168778003,0.0,9,4,7,0.4018096923828125,0.65,4.6,4.6
heterogeneity_gp_re_increased_perm_3,heterogeneity,guarded_blend,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,20,0,1.0,1.0,0.0,0.0
heterogeneity_gp_re_increased_perm_4,heterogeneity,guarded_blend,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,20,0,1.0,1.0,0.0,0.0
heterogeneity_gp_re_increased_perm_5,heterogeneity,guarded_blend,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,20,0,1.0,1.0,0.0,0.0
boundary_scale_0.80,boundary,guarded_blend,20,97.05,47.0,157.1363097710473,-0.2,-3.8,1.9,0.0,3,14,3,0.65625,0.85,2.1,2.1
boundary_scale_1.20,boundary,guarded_blend,20,99.2,44.60310663979823,180.94233754181187,-0.5,-4.1,2.6,0.0,2,14,4,0.890625,0.8,1.65,1.65
gamma_cv_0.05,stochasticity,guarded_blend,20,15.95,0.0,79.75,0.0,0.0,0.0,0.0,0,20,0,1.0,1.0,0.2,0.2
gamma_cv_0.20,stochasticity,guarded_blend,20,54.35,17.2,110.5,6.25,-3.1,21.75,0.0,3,16,1,0.3125,0.95,2.15,2.15
risk_horizon_24h,scheduler,guarded_blend,20,12.0,0.0,60.0,0.6,0.0,3.0,0.0,1,19,0,0.5,1.0,0.1,0.1
risk_horizon_240h,scheduler,guarded_blend,20,193.75,124.25984423436904,253.22212974710237,2.85,-1.4,9.629729844047414,0.0,6,8,6,0.61279296875,0.7,5.75,5.75
reschedule_12h,scheduler,guarded_blend,20,100.35,34.0,169.2,2.5,0.75,6.55,0.0,5,14,1,0.109375,0.95,1.95,1.95
reschedule_48h,scheduler,guarded_blend,20,69.15,25.95,135.91556989644178,2.95,1.0,7.7,0.0,5,15,0,0.03125,1.0,0.85,0.85
