scenario_id,local_seed,category,policy,first_boundary_gain_h,second_boundary_gain_h,start_count_delta,assignment_change_delta
initial_equal_midlife,3,initial_health,health_greedy,648.0,357.0,53,53
initial_equal_midlife,4,initial_health,health_greedy,371.0,367.0,46,46
initial_equal_midlife,5,initial_health,health_greedy,579.0,435.0,55,55
initial_equal_midlife,6,initial_health,health_greedy,486.0,425.0,47,47
initial_equal_midlife,7,initial_health,health_greedy,484.0,355.0,52,52
initial_equal_midlife,8,initial_health,health_greedy,522.0,391.0,53,53
initial_equal_midlife,9,initial_health,health_greedy,498.0,399.0,46,46
initial_equal_midlife,10,initial_health,health_greedy,554.0,385.0,43,43
initial_equal_midlife,11,initial_health,health_greedy,528.0,444.0,46,46
initial_equal_midlife,12,initial_health,health_greedy,526.0,493.0,52,52
initial_equal_midlife,13,initial_health,health_greedy,565.0,516.0,49,49
initial_equal_midlife,14,initial_health,health_greedy,431.0,439.0,56,56
initial_equal_midlife,15,initial_health,health_greedy,376.0,391.0,54,54
initial_equal_midlife,16,initial_health,health_greedy,524.0,360.0,43,43
initial_equal_midlife,17,initial_health,health_greedy,441.0,431.0,49,49
initial_equal_midlife,18,initial_health,health_greedy,416.0,394.0,47,47
initial_equal_midlife,19,initial_health,health_greedy,461.0,399.0,44,44
heterogeneity_current_perm_1,0,heterogeneity,health_greedy,355.0,-10.0,21,21
heterogeneity_current_perm_1,1,heterogeneity,health_greedy,251.0,-6.0,27,27
heterogeneity_current_perm_1,2,heterogeneity,health_greedy,326.0,-7.0,20,20
heterogeneity_current_perm_1,3,heterogeneity,health_greedy,425.0,-18.0,26,26
heterogeneity_current_perm_1,4,heterogeneity,health_greedy,315.0,0.0,22,22
heterogeneity_current_perm_1,5,heterogeneity,health_greedy,385.0,-7.0,25,25
heterogeneity_current_perm_1,6,heterogeneity,health_greedy,321.0,-3.0,22,22
heterogeneity_current_perm_1,7,heterogeneity,health_greedy,307.0,41.0,22,22
heterogeneity_current_perm_1,8,heterogeneity,health_greedy,267.0,-23.0,17,17
heterogeneity_current_perm_1,9,heterogeneity,health_greedy,365.0,0.0,24,24
heterogeneity_current_perm_1,10,heterogeneity,health_greedy,310.0,-6.0,18,18
heterogeneity_current_perm_1,11,heterogeneity,health_greedy,374.0,-17.0,24,24
heterogeneity_current_perm_1,12,heterogeneity,health_greedy,343.0,0.0,26,26
heterogeneity_current_perm_1,13,heterogeneity,health_greedy,371.0,-3.0,26,26
heterogeneity_current_perm_1,14,heterogeneity,health_greedy,367.0,-11.0,25,25
heterogeneity_current_perm_1,15,heterogeneity,health_greedy,369.0,4.0,28,28
heterogeneity_current_perm_1,16,heterogeneity,health_greedy,315.0,17.0,22,22
heterogeneity_current_perm_1,17,heterogeneity,health_greedy,362.0,-15.0,27,27
heterogeneity_current_perm_1,18,heterogeneity,health_greedy,278.0,-22.0,18,18
heterogeneity_current_perm_1,19,heterogeneity,health_greedy,357.0,-11.0,19,19
heterogeneity_current_perm_2,0,heterogeneity,health_greedy,377.0,-5.0,19,19
heterogeneity_current_perm_2,1,heterogeneity,health_greedy,231.0,48.0,24,24
heterogeneity_current_perm_2,2,heterogeneity,health_greedy,239.0,18.0,21,21
heterogeneity_current_perm_2,3,heterogeneity,health_greedy,410.0,-11.0,29,29
heterogeneity_current_perm_2,4,heterogeneity,health_greedy,221.0,43.0,23,23
heterogeneity_current_perm_2,5,heterogeneity,health_greedy,340.0,11.0,25,25
heterogeneity_current_perm_2,6,heterogeneity,health_greedy,312.0,-10.0,24,24
heterogeneity_current_perm_2,7,heterogeneity,health_greedy,185.0,0.0,21,21
heterogeneity_current_perm_2,8,heterogeneity,health_greedy,263.0,-13.0,18,18
heterogeneity_current_perm_2,9,heterogeneity,health_greedy,253.0,-3.0,23,23
heterogeneity_current_perm_2,10,heterogeneity,health_greedy,303.0,-15.0,22,22
heterogeneity_current_perm_2,11,heterogeneity,health_greedy,306.0,23.0,27,27
heterogeneity_current_perm_2,12,heterogeneity,health_greedy,256.0,-1.0,21,21
