policy,month,local_seed,first_boundary_gain_h,second_boundary_gain_h
expected_n_plus_one,2025-12,9,-762.0,0.0
expected_n_plus_one,2025-12,10,-619.0,51.0
expected_n_plus_one,2025-12,11,-794.0,0.0
expected_n_plus_one,2025-12,12,-576.0,9.0
expected_n_plus_one,2025-12,13,-584.0,50.0
expected_n_plus_one,2025-12,14,-602.0,66.0
expected_n_plus_one,2025-12,15,-629.0,48.0
expected_n_plus_one,2025-12,16,-662.0,-2.0
expected_n_plus_one,2025-12,17,-604.0,-25.0
expected_n_plus_one,2025-12,18,-652.0,69.0
expected_n_plus_one,2025-12,19,-634.0,-11.0
expected_n_plus_one,2026-01,0,-902.0,-9.0
expected_n_plus_one,2026-01,1,-934.0,0.0
expected_n_plus_one,2026-01,2,-757.0,63.0
expected_n_plus_one,2026-01,3,-946.0,30.0
expected_n_plus_one,2026-01,4,-755.0,-2.0
expected_n_plus_one,2026-01,5,-707.0,0.0
expected_n_plus_one,2026-01,6,-841.0,0.0
expected_n_plus_one,2026-01,7,-633.0,0.0
expected_n_plus_one,2026-01,8,-822.0,0.0
expected_n_plus_one,2026-01,9,-678.0,10.0
expected_n_plus_one,2026-01,10,-808.0,30.0
expected_n_plus_one,2026-01,11,-842.0,-76.0
expected_n_plus_one,2026-01,12,-899.0,0.0
expected_n_plus_one,2026-01,13,-839.0,-2.0
expected_n_plus_one,2026-01,14,-784.0,0.0
expected_n_plus_one,2026-01,15,-787.0,0.0
expected_n_plus_one,2026-01,16,-934.0,58.0
expected_n_plus_one,2026-01,17,-603.0,11.0
expected_n_plus_one,2026-01,18,-715.0,52.0
expected_n_plus_one,2026-01,19,-669.0,-1.0
expected_n_plus_one,2026-02,0,-539.0,-1.0
expected_n_plus_one,2026-02,1,-550.0,0.0
expected_n_plus_one,2026-02,2,-477.0,2.0
expected_n_plus_one,2026-02,3,-511.0,0.0
expected_n_plus_one,2026-02,4,-576.0,-1.0
expected_n_plus_one,2026-02,5,-560.0,2.0
expected_n_plus_one,2026-02,6,-528.0,0.0
expected_n_plus_one,2026-02,7,-479.0,0.0
expected_n_plus_one,2026-02,8,-442.0,3.0
expected_n_plus_one,2026-02,9,-526.0,15.0
expected_n_plus_one,2026-02,10,-519.0,0.0
expected_n_plus_one,2026-02,11,-571.0,0.0
expected_n_plus_one,2026-02,12,-498.0,-15.0
expected_n_plus_one,2026-02,13,-584.0,1.0
expected_n_plus_one,2026-02,14,-345.0,0.0
expected_n_plus_one,2026-02,15,-562.0,3.0
expected_n_plus_one,2026-02,16,-546.0,69.0
expected_n_plus_one,2026-02,17,-564.0,3.0
expected_n_plus_one,2026-02,18,-552.0,6.0
expected_n_plus_one,2026-02,19,-485.0,-21.0
expected_n_plus_one,2026-03,0,-376.0,2.0
expected_n_plus_one,2026-03,1,-455.0,1.0
expected_n_plus_one,2026-03,2,-370.0,-1.0
expected_n_plus_one,2026-03,3,-381.0,0.0
expected_n_plus_one,2026-03,4,-383.0,0.0
expected_n_plus_one,2026-03,5,-441.0,0.0
expected_n_plus_one,2026-03,6,-395.0,9.0
expected_n_plus_one,2026-03,7,-417.0,0.0
expected_n_plus_one,2026-03,8,-385.0,-10.0
expected_n_plus_one,2026-03,9,-362.0,5.0
expected_n_plus_one,2026-03,10,-371.0,-1.0
expected_n_plus_one,2026-03,11,-388.0,0.0
expected_n_plus_one,2026-03,12,-399.0,22.0
expected_n_plus_one,2026-03,13,-459.0,0.0
expected_n_plus_one,2026-03,14,-413.0,0.0
expected_n_plus_one,2026-03,15,-363.0,-8.0
expected_n_plus_one,2026-03,16,-408.0,0.0
expected_n_plus_one,2026-03,17,-411.0,0.0
expected_n_plus_one,2026-03,18,-340.0,-13.0
expected_n_plus_one,2026-03,19,-322.0,0.0
expected_n_plus_one,2026-04,0,-340.0,0.0
expected_n_plus_one,2026-04,1,-454.0,-20.0
expected_n_plus_one,2026-04,2,-510.0,0.0
expected_n_plus_one,2026-04,3,-474.0,0.0
expected_n_plus_one,2026-04,4,-410.0,-16.0
expected_n_plus_one,2026-04,5,-499.0,0.0
expected_n_plus_one,2026-04,6,-525.0,-3.0
expected_n_plus_one,2026-04,7,-422.0,2.0
expected_n_plus_one,2026-04,8,-531.0,-1.0
expected_n_plus_one,2026-04,9,-374.0,-1.0
expected_n_plus_one,2026-04,10,-496.0,0.0
expected_n_plus_one,2026-04,11,-406.0,-12.0
expected_n_plus_one,2026-04,12,-417.0,0.0
expected_n_plus_one,2026-04,13,-479.0,0.0
expected_n_plus_one,2026-04,14,-444.0,-2.0
expected_n_plus_one,2026-04,15,-549.0,-1.0
expected_n_plus_one,2026-04,16,-453.0,-6.0
expected_n_plus_one,2026-04,17,-464.0,-1.0
expected_n_plus_one,2026-04,18,-435.0,1.0
expected_n_plus_one,2026-04,19,-452.0,-40.0
expected_n_plus_one,2026-05,0,-879.0,40.0
expected_n_plus_one,2026-05,1,-926.0,-2.0
expected_n_plus_one,2026-05,2,-784.0,-30.0
expected_n_plus_one,2026-05,3,-878.0,1.0
expected_n_plus_one,2026-05,4,-700.0,126.0
expected_n_plus_one,2026-05,5,-698.0,-7.0
expected_n_plus_one,2026-05,6,-811.0,0.0
expected_n_plus_one,2026-05,7,-924.0,0.0
expected_n_plus_one,2026-05,8,-868.0,-74.0
expected_n_plus_one,2026-05,9,-912.0,-10.0
expected_n_plus_one,2026-05,10,-712.0,25.0
expected_n_plus_one,2026-05,11,-669.0,-15.0
expected_n_plus_one,2026-05,12,-858.0,1.0
expected_n_plus_one,2026-05,13,-759.0,0.0
expected_n_plus_one,2026-05,14,-770.0,-3.0
expected_n_plus_one,2026-05,15,-725.0,11.0
expected_n_plus_one,2026-05,16,-1076.0,4.0
expected_n_plus_one,2026-05,17,-861.0,106.0
expected_n_plus_one,2026-05,18,-919.0,-39.0
expected_n_plus_one,2026-05,19,-934.0,-113.0
expected_n_plus_one,2026-06,0,-456.0,0.0
expected_n_plus_one,2026-06,1,-467.0,-1.0
expected_n_plus_one,2026-06,2,-427.0,3.0
expected_n_plus_one,2026-06,3,-521.0,-30.0
expected_n_plus_one,2026-06,4,-400.0,16.0
expected_n_plus_one,2026-06,5,-417.0,40.0
expected_n_plus_one,2026-06,6,-413.0,6.0
expected_n_plus_one,2026-06,7,-448.0,28.0
expected_n_plus_one,2026-06,8,-520.0,0.0
expected_n_plus_one,2026-06,9,-460.0,-30.0
expected_n_plus_one,2026-06,10,-499.0,23.0
expected_n_plus_one,2026-06,11,-451.0,0.0
expected_n_plus_one,2026-06,12,-509.0,12.0
expected_n_plus_one,2026-06,13,-441.0,-4.0
expected_n_plus_one,2026-06,14,-486.0,0.0
expected_n_plus_one,2026-06,15,-487.0,0.0
expected_n_plus_one,2026-06,16,-440.0,4.0
expected_n_plus_one,2026-06,17,-437.0,1.0
expected_n_plus_one,2026-06,18,-492.0,-3.0
expected_n_plus_one,2026-06,19,-497.0,1.0
