policy,first_boundary_crossed,second_boundary_crossed,time_to_first_boundary_h,time_to_second_boundary_h,post_first_n_plus_one_reserve_h,first_boundary_total_damage_pct,first_boundary_damage_range_pct,final_elapsed_h,final_total_damage_pct,final_damage_range_pct,start_count,assignment_change_count,crossing_order,stack_0_crossing_h,stack_1_crossing_h,stack_2_crossing_h,stack_0_final_damage_pct,stack_1_final_damage_pct,stack_2_final_damage_pct,month,local_seed,simulation_seed
expected_n_plus_one,True,True,245.0,961.0,716.0,15.902432087225089,6.55358705803722,961.0,27.427005360427188,0.6432267002266308,3,1,"(np.int64(2), np.int64(1), np.int64(0))",,961.0,245.0,8.714177166293412,9.355424327613735,9.357403866520043,2025-06,15,15
fixed_pair,True,True,586.0,810.0,224.0,22.554961184888064,3.64424738001152,810.0,26.39004285733295,1.680705137034126,3,1,"(np.int64(1), np.int64(2), np.int64(0))",,586.0,810.0,7.677687733193444,9.35839287022757,9.353962253911938,2025-06,16,16
order_blend_50,True,True,586.0,810.0,224.0,22.554961184888064,3.64424738001152,810.0,26.39004285733295,1.680705137034126,3,1,"(np.int64(1), np.int64(2), np.int64(0))",,586.0,810.0,7.677687733193444,9.35839287022757,9.353962253911938,2025-06,16,16
expected_n_plus_one,True,True,153.0,857.0,704.0,15.59563092018506,7.540623968011381,857.0,27.03593623344817,1.7124829756494382,3,1,"(np.int64(2), np.int64(1), np.int64(0))",,857.0,153.0,7.9850387623376715,9.353375733123388,9.69752173798711,2025-06,16,16
fixed_pair,True,True,708.0,921.0,213.0,23.71959591355483,2.4787775781740784,921.0,27.452070167087975,0.6245914255654288,3,1,"(np.int64(1), np.int64(2), np.int64(0))",,708.0,921.0,8.734751703940157,9.357975333642232,9.359343129505586,2025-06,17,17
order_blend_50,True,True,708.0,921.0,213.0,23.71959591355483,2.4787775781740784,921.0,27.452070167087975,0.6245914255654288,3,1,"(np.int64(1), np.int64(2), np.int64(0))",,708.0,921.0,8.734751703940157,9.357975333642232,9.359343129505586,2025-06,17,17
expected_n_plus_one,True,True,224.0,919.0,695.0,16.05304172644224,6.3982756114882005,919.0,27.43059469952518,0.6333276639139509,3,1,"(np.int64(2), np.int64(1), np.int64(0))",,919.0,224.0,8.721725298940157,9.353816437730917,9.355052962854108,2025-06,17,17
fixed_pair,True,True,741.0,938.0,197.0,23.771567199720273,2.5127857008661145,938.0,27.054982819010007,1.1010332912842937,3,1,"(np.int64(1), np.int64(2), np.int64(0))",,741.0,938.0,8.299931746786678,9.400965038070972,9.354086034152356,2025-06,18,18
order_blend_50,True,True,741.0,938.0,197.0,23.771567199720273,2.5127857008661145,938.0,27.054982819010007,1.1010332912842937,3,1,"(np.int64(1), np.int64(2), np.int64(0))",,741.0,938.0,8.299931746786678,9.400965038070972,9.354086034152356,2025-06,18,18
expected_n_plus_one,True,True,241.0,931.0,690.0,15.808674241567967,6.647419234150428,931.0,26.96442845116041,1.103506424961413,3,1,"(np.int64(2), np.int64(1), np.int64(0))",,931.0,241.0,8.253934606786673,9.35305281262565,9.357441031748087,2025-06,18,18
