strategy,n_steps,dt_s,switch_penalty_g_per_change,hysteresis_start_multiplier,hysteresis_stop_multiplier,total_hydrogen_g,hydrogen_g_per_net_kwh,energy_weighted_efficiency_lhv_pct,total_stack_state_changes,total_stack_starts,total_stack_stops,mode_change_events,one_stack_share,two_stack_share,power_balance_mae_kw,power_balance_max_abs_kw,total_evaluated_objective_g,runtime_s,seed,split_label,penalty_multiple
one_step_greedy,900,1.0,0.476551986273882,1.0,2.0,1109.6695590239606,65.82057333747407,45.578454393255825,2,2,0,2,0.035555555555555556,0.9644444444444444,0.0,0.0,1110.6226629965083,0.019754699897021055,2028,development,4.0
break_even_hysteresis,900,1.0,0.476551986273882,1.0,2.0,1108.692701456182,65.76263057004628,45.61861309371741,2,2,0,2,0.024444444444444446,0.9755555555555555,0.0,0.0,1109.6458054287298,0.022938499925658107,2028,development,4.0
offline_dp,900,1.0,0.476551986273882,1.0,2.0,1108.3019584290705,65.73945346307515,45.63469639559854,2,2,0,2,0.02,0.98,0.0,0.0,1109.2550624016183,0.029443199979141355,2028,development,4.0
one_step_greedy,900,1.0,0.0,1.0,2.0,1143.2004675411597,65.57568909133813,45.74866145625092,20,11,9,20,0.16,0.84,0.0,0.0,1143.2004675411597,0.020531699992716312,2029,development,0.0
break_even_hysteresis,900,1.0,0.0,1.0,2.0,1143.2004675411597,65.57568909133813,45.74866145625092,20,11,9,20,0.16,0.84,0.0,0.0,1143.2004675411597,0.022559199947863817,2029,development,0.0
offline_dp,900,1.0,0.0,1.0,2.0,1143.2004675411597,65.57568909133813,45.74866145625092,20,11,9,20,0.16,0.84,0.0,0.0,1143.2004675411597,0.029740799916908145,2029,development,0.0
one_step_greedy,900,1.0,0.05956899828423525,1.0,2.0,1145.0361799226962,65.6809882998415,45.67531758664532,2,2,0,2,0.014444444444444444,0.9855555555555555,0.0,0.0,1145.1553179192647,0.020427499897778034,2029,development,0.5
break_even_hysteresis,900,1.0,0.05956899828423525,1.0,2.0,1144.2106930764255,65.6336371393784,45.708269886510365,18,10,8,18,0.08,0.92,0.0,0.0,1145.2829350455418,0.02259599999524653,2029,development,0.5
offline_dp,900,1.0,0.05956899828423525,1.0,2.0,1143.3095632061384,65.58194698189276,45.744296076301296,18,10,8,18,0.1511111111111111,0.8488888888888889,0.0,0.0,1144.3818051752546,0.029984300024807453,2029,development,0.5
one_step_greedy,900,1.0,0.1191379965684705,1.0,2.0,1147.039080623328,65.79587768044851,45.59556169415546,2,2,0,2,0.03888888888888889,0.9611111111111111,0.0,0.0,1147.2773566164649,0.02038359991274774,2029,development,1.0
