strategy,n_steps,dt_s,switch_penalty_g_per_change,hysteresis_start_multiplier,hysteresis_stop_multiplier,total_hydrogen_g,hydrogen_g_per_net_kwh,energy_weighted_efficiency_lhv_pct,total_stack_state_changes,total_stack_starts,total_stack_stops,mode_change_events,one_stack_share,two_stack_share,power_balance_mae_kw,power_balance_max_abs_kw,total_evaluated_objective_g,runtime_s,seed,split_label,load_event_count,unique_demand_count
instantaneous,900,1.0,0.1191379965684705,1.0,2.0,956.4904400277454,64.39445542538076,46.58786195461118,26,14,12,26,0.31,0.69,0.0,0.0,959.5880279385257,0.018745699897408485,2031,development,54,54
sticky,900,1.0,0.1191379965684705,1.0,2.0,961.4479811185062,64.72821533078998,46.34763966021103,2,2,0,2,0.035555555555555556,0.9644444444444444,0.0,0.0,961.6862571116432,0.01830090000294149,2031,development,54,54
one_step_greedy,900,1.0,0.1191379965684705,1.0,2.0,961.4479811185062,64.72821533078998,46.34763966021103,2,2,0,2,0.035555555555555556,0.9644444444444444,0.0,0.0,961.6862571116432,0.021052399883046746,2031,development,54,54
break_even_hysteresis,900,1.0,0.1191379965684705,1.0,2.0,959.3809326877345,64.5890540255985,46.44749865528319,18,10,8,18,0.11555555555555555,0.8844444444444445,0.0,0.0,961.525416625967,0.02384530007839203,2031,development,54,54
offline_dp,900,1.0,0.1191379965684705,1.0,2.0,957.2035843676473,64.44246692605644,46.55315265075601,18,10,8,18,0.25555555555555554,0.7444444444444445,0.0,0.0,959.3480683058798,0.03152010007761419,2031,development,54,54
average,900,1.0,0.1191379965684705,1.0,2.0,1033.7282484126936,65.14397667042832,46.05184014444459,2,2,0,1,0.0,1.0,0.0,0.0,1033.9665244058306,0.06687019998207688,2032,development,53,53
daisy_chain,900,1.0,0.1191379965684705,1.0,2.0,1218.3501538297999,76.77856740335031,39.073404225423225,29,15,14,29,0.5788888888888889,0.4211111111111111,0.0,0.0,1221.8051557302856,0.06823799991980195,2032,development,53,53
instantaneous,900,1.0,0.1191379965684705,1.0,2.0,1029.652786619705,64.88714728768548,46.23411762423624,22,12,10,22,0.21777777777777776,0.7822222222222223,0.0,0.0,1032.2738225442113,0.019191700033843517,2032,development,53,53
sticky,900,1.0,0.1191379965684705,1.0,2.0,1033.88264337621,65.15370640541117,46.044962988488415,2,2,0,2,0.034444444444444444,0.9655555555555555,0.0,0.0,1034.120919369347,0.020749100018292665,2032,development,53,53
one_step_greedy,900,1.0,0.1191379965684705,1.0,2.0,1033.88264337621,65.15370640541117,46.044962988488415,2,2,0,2,0.034444444444444444,0.9655555555555555,0.0,0.0,1034.120919369347,0.02200790005736053,2032,development,53,53
break_even_hysteresis,900,1.0,0.1191379965684705,1.0,2.0,1032.222904539529,65.0491121968058,46.11899991691683,16,9,7,16,0.05555555555555555,0.9444444444444444,0.0,0.0,1034.1291124846246,0.02398109994828701,2032,development,53,53
offline_dp,900,1.0,0.1191379965684705,1.0,2.0,1030.1605164336077,64.91914364572499,46.21133045703003,16,9,7,16,0.17777777777777778,0.8222222222222222,0.0,0.0,1032.0667243787032,0.031516100047156215,2032,development,53,53
average,900,1.0,0.1191379965684705,1.0,2.0,1037.188728773637,65.22499137225184,45.994640043391,2,2,0,1,0.0,1.0,0.0,0.0,1037.427004766774,0.09466029983013868,2033,development,55,55
daisy_chain,900,1.0,0.1191379965684705,1.0,2.0,1247.867249822469,78.47379010724839,38.22932466878399,31,16,15,31,0.4988888888888889,0.5011111111111111,0.0,0.0,1251.5605277160914,0.06879350007511675,2033,development,55,55
instantaneous,900,1.0,0.1191379965684705,1.0,2.0,1032.1950497654304,64.91095723247558,46.2171585184862,24,13,11,24,0.3,0.7,0.0,0.0,1035.0543616830737,0.01888660015538335,2033,development,55,55
sticky,900,1.0,0.1191379965684705,1.0,2.0,1036.4013174099775,65.17547396237619,46.0295847135965,2,2,0,2,0.03666666666666667,0.9633333333333334,0.0,0.0,1036.6395934031145,0.0182220998685807,2033,development,55,55
one_step_greedy,900,1.0,0.1191379965684705,1.0,2.0,1036.4013174099775,65.17547396237619,46.0295847135965,2,2,0,2,0.03666666666666667,0.9633333333333334,0.0,0.0,1036.6395934031145,0.020470600109547377,2033,development,55,55
