scenario_id,month,local_seed,policy,first_boundary_gain_h,second_boundary_gain_h
heterogeneity_gp_re_increased_perm_3,2025-07,8,guarded_blend,0.0,0.0
heterogeneity_gp_re_increased_perm_3,2025-07,9,guarded_blend,0.0,0.0
heterogeneity_gp_re_increased_perm_3,2025-07,10,guarded_blend,0.0,0.0
heterogeneity_gp_re_increased_perm_3,2025-07,11,guarded_blend,0.0,0.0
heterogeneity_gp_re_increased_perm_3,2025-07,12,guarded_blend,0.0,0.0
heterogeneity_gp_re_increased_perm_3,2025-07,13,guarded_blend,0.0,0.0
heterogeneity_gp_re_increased_perm_3,2025-07,14,guarded_blend,0.0,0.0
heterogeneity_gp_re_increased_perm_3,2025-07,15,guarded_blend,0.0,0.0
heterogeneity_gp_re_increased_perm_3,2025-07,16,guarded_blend,0.0,0.0
heterogeneity_gp_re_increased_perm_3,2025-07,17,guarded_blend,0.0,0.0
heterogeneity_gp_re_increased_perm_3,2025-07,18,guarded_blend,0.0,0.0
heterogeneity_gp_re_increased_perm_3,2025-07,19,guarded_blend,0.0,0.0
heterogeneity_gp_re_increased_perm_3,2025-08,0,guarded_blend,0.0,0.0
heterogeneity_gp_re_increased_perm_3,2025-08,1,guarded_blend,0.0,0.0
heterogeneity_gp_re_increased_perm_3,2025-08,2,guarded_blend,0.0,0.0
heterogeneity_gp_re_increased_perm_3,2025-08,3,guarded_blend,0.0,0.0
heterogeneity_gp_re_increased_perm_3,2025-08,4,guarded_blend,0.0,0.0
heterogeneity_gp_re_increased_perm_3,2025-08,5,guarded_blend,0.0,0.0
heterogeneity_gp_re_increased_perm_3,2025-08,6,guarded_blend,0.0,0.0
heterogeneity_gp_re_increased_perm_3,2025-08,7,guarded_blend,0.0,0.0
heterogeneity_gp_re_increased_perm_3,2025-08,8,guarded_blend,0.0,0.0
heterogeneity_gp_re_increased_perm_3,2025-08,9,guarded_blend,0.0,0.0
heterogeneity_gp_re_increased_perm_3,2025-08,10,guarded_blend,0.0,0.0
heterogeneity_gp_re_increased_perm_3,2025-08,11,guarded_blend,0.0,0.0
heterogeneity_gp_re_increased_perm_3,2025-08,12,guarded_blend,0.0,0.0
heterogeneity_gp_re_increased_perm_3,2025-08,13,guarded_blend,0.0,0.0
heterogeneity_gp_re_increased_perm_3,2025-08,14,guarded_blend,0.0,0.0
heterogeneity_gp_re_increased_perm_3,2025-08,15,guarded_blend,0.0,0.0
heterogeneity_gp_re_increased_perm_3,2025-08,16,guarded_blend,0.0,0.0
heterogeneity_gp_re_increased_perm_3,2025-08,17,guarded_blend,0.0,0.0
heterogeneity_gp_re_increased_perm_3,2025-08,18,guarded_blend,0.0,0.0
heterogeneity_gp_re_increased_perm_3,2025-08,19,guarded_blend,0.0,0.0
heterogeneity_gp_re_increased_perm_3,2025-09,0,guarded_blend,0.0,0.0
heterogeneity_gp_re_increased_perm_3,2025-09,1,guarded_blend,0.0,0.0
heterogeneity_gp_re_increased_perm_3,2025-09,2,guarded_blend,0.0,0.0
heterogeneity_gp_re_increased_perm_3,2025-09,3,guarded_blend,0.0,0.0
heterogeneity_gp_re_increased_perm_3,2025-09,4,guarded_blend,0.0,0.0
heterogeneity_gp_re_increased_perm_3,2025-09,5,guarded_blend,0.0,0.0
heterogeneity_gp_re_increased_perm_3,2025-09,6,guarded_blend,0.0,0.0
heterogeneity_gp_re_increased_perm_3,2025-09,7,guarded_blend,0.0,0.0
heterogeneity_gp_re_increased_perm_3,2025-09,8,guarded_blend,0.0,0.0
heterogeneity_gp_re_increased_perm_3,2025-09,9,guarded_blend,0.0,0.0
