strategy,n_steps,dt_s,switch_penalty_g_per_change,hysteresis_start_multiplier,hysteresis_stop_multiplier,total_hydrogen_g,hydrogen_g_per_net_kwh,energy_weighted_efficiency_lhv_pct,total_stack_state_changes,total_stack_starts,total_stack_stops,mode_change_events,one_stack_share,two_stack_share,power_balance_mae_kw,power_balance_max_abs_kw,total_evaluated_objective_g,runtime_s,seed,failed_stack,fault_step,fault_demand_net_power_kw,faulted_stack_active_before_fault,faulted_stack_post_fault_max_kw,reconfiguration_delay_steps,fault_step_state_changes,reserve_stack_1_post_fault_share,healthy_post_fault_hydrogen_g,faulted_post_fault_hydrogen_g,incremental_post_fault_hydrogen_g,incremental_post_fault_hydrogen_pct
one_step_greedy,900,1.0,0.1191379965684705,1.0,2.0,990.8210151007384,65.0649059980801,46.10780502915832,4,3,1,3,0.025555555555555557,0.9744444444444444,0.0,0.0,991.2975670870122,0.05446949996985495,3028,stack_2,505,85.7629886690305,True,0.0,0,2,1.0,494.0922629011181,502.15675824481616,8.06449534369807,1.6321840978335667
break_even_hysteresis,900,1.0,0.1191379965684705,1.0,2.0,989.7354942163081,64.99362237245249,46.15837509114652,18,10,8,17,0.058888888888888886,0.9411111111111111,0.0,0.0,991.8799781545406,0.05414260015822947,3028,stack_2,505,85.7629886690305,True,0.0,0,2,0.9392405063291139,493.99795150658736,501.83700869071663,7.839057184129274,1.5868602613071214
offline_dp,900,1.0,0.1191379965684705,1.0,2.0,987.6508448572391,64.8567283093275,46.25580226143706,18,10,8,18,0.18,0.82,0.0,0.0,989.7953287954716,0.061512199928984046,3028,stack_2,505,85.7629886690305,True,0.0,0,0,0.8050632911392405,493.22485320846175,500.85251486580484,7.627661657343083,1.5464876937414385
average,900,1.0,0.1191379965684705,1.0,2.0,1002.4169225999067,65.82638220810892,45.57443230763528,4,3,1,2,0.0,1.0,0.0,0.0,1002.8934745861806,0.1969980001449585,3028,stack_3,505,85.7629886690305,True,0.0,0,2,1.0,494.83289977948897,514.1612286310469,19.328328851557956,3.906031482581529
daisy_chain,900,1.0,0.1191379965684705,1.0,2.0,1163.6171524495903,76.4120254697955,39.26083599479829,31,16,15,30,0.6088888888888889,0.39111111111111113,0.0,0.0,1167.3104303432128,0.18517789989709854,3028,stack_3,505,85.7629886690305,True,0.0,0,2,0.529113924050633,591.4316715248734,590.6109940812352,-0.8206774436382602,-0.13876115925992583
instantaneous,900,1.0,0.1191379965684705,1.0,2.0,996.4187016402957,65.43249302232786,45.84878034490133,26,14,12,25,0.22333333333333333,0.7766666666666666,0.0,0.0,999.5162895510759,0.05494519998319447,3028,stack_3,505,85.7629886690305,True,0.0,0,2,0.8050632911392405,493.0066405526719,510.3114025866523,17.30476203398041,3.5100464396547126
sticky,900,1.0,0.1191379965684705,1.0,2.0,1000.1612627609118,65.67825828547197,45.67721614907076,4,3,1,3,0.025555555555555557,0.9744444444444444,0.0,0.0,1000.6378147471856,0.057764200028032064,3028,stack_3,505,85.7629886690305,True,0.0,0,2,1.0,494.0922629011181,511.4970059049865,17.40474300386842,3.5225694289715337
one_step_greedy,900,1.0,0.1191379965684705,1.0,2.0,1000.1612627609118,65.67825828547197,45.67721614907076,4,3,1,3,0.025555555555555557,0.9744444444444444,0.0,0.0,1000.6378147471856,0.04988679988309741,3028,stack_3,505,85.7629886690305,True,0.0,0,2,1.0,494.0922629011181,511.4970059049865,17.40474300386842,3.5225694289715337
break_even_hysteresis,900,1.0,0.1191379965684705,1.0,2.0,999.2177874049178,65.61630245852274,45.72034521293479,18,10,8,17,0.05333333333333334,0.9466666666666667,0.0,0.0,1001.3622713431503,0.055133899906650186,3028,stack_3,505,85.7629886690305,True,0.0,0,2,0.9518987341772152,493.99795150658736,511.31930187932414,17.321350372736788,3.506360769292738
offline_dp,900,1.0,0.1191379965684705,1.0,2.0,997.1756222824313,65.48219823616363,45.81397816213201,18,10,8,17,0.16555555555555557,0.8344444444444444,0.0,0.0,999.3201062206638,0.06153740012086928,3028,stack_3,505,85.7629886690305,True,0.0,0,2,0.8050632911392405,493.22485320846175,510.3114025866523,17.08654937819057,3.464251500515725
average,900,1.0,0.1191379965684705,1.0,2.0,1065.8288688673429,65.03617950852113,46.12817085307022,2,2,0,1,0.0,1.0,0.0,0.0,1066.0671448604799,0.19449620018713176,3029,stack_1,355,101.84375266119592,False,0.0,0,0,0.0,651.6977909478214,651.6977909478214,0.0,0.0
daisy_chain,900,1.0,0.1191379965684705,1.0,2.0,1271.2677194569183,77.57192361832985,38.67378634002454,24,13,11,24,0.5377777777777778,0.4622222222222222,0.0,0.0,1274.1270313745615,0.20323790004476905,3029,stack_1,355,101.84375266119592,False,0.0,0,0,0.0,782.536848881037,782.536848881037,0.0,0.0
instantaneous,900,1.0,0.1191379965684705,1.0,2.0,1062.1083415535215,64.80915536860908,46.28975617622477,22,12,10,22,0.18333333333333332,0.8166666666666667,0.0,0.0,1064.7293774780278,0.05201449990272522,3029,stack_1,355,101.84375266119592,False,0.0,0,0,0.0,649.5913691830744,649.5913691830744,0.0,0.0
sticky,900,1.0,0.1191379965684705,1.0,2.0,1065.9328410176588,65.04252382103634,46.12367146536996,2,2,0,2,0.03666666666666667,0.9633333333333334,0.0,0.0,1066.1711170107958,0.05009170016273856,3029,stack_1,355,101.84375266119592,False,0.0,0,0,0.0,650.9041430904504,650.9041430904504,0.0,0.0
one_step_greedy,900,1.0,0.1191379965684705,1.0,2.0,1065.9328410176588,65.04252382103634,46.12367146536996,2,2,0,2,0.03666666666666667,0.9633333333333334,0.0,0.0,1066.1711170107958,0.052349100122228265,3029,stack_1,355,101.84375266119592,False,0.0,0,0,0.0,650.9041430904504,650.9041430904504,0.0,0.0
break_even_hysteresis,900,1.0,0.1191379965684705,1.0,2.0,1064.4000087433772,64.94899139959558,46.1900937235903,8,5,3,8,0.03666666666666667,0.9633333333333334,0.0,0.0,1065.353112715925,0.054984299931675196,3029,stack_1,355,101.84375266119592,False,0.0,0,0,0.0,650.9395483433921,650.9395483433921,0.0,0.0
offline_dp,900,1.0,0.1191379965684705,1.0,2.0,1063.3436904841353,64.88453555125739,46.2359786428624,8,5,3,8,0.08777777777777777,0.9122222222222223,0.0,0.0,1064.296794456683,0.061177399940788746,3029,stack_1,355,101.84375266119592,False,0.0,0,0,0.0,650.6207659021497,650.6207659021497,0.0,0.0
average,900,1.0,0.1191379965684705,1.0,2.0,1079.2378105580299,65.85438434823574,45.55505346669252,4,3,1,2,0.0,1.0,0.0,0.0,1079.7143625443039,0.2012648000381887,3029,stack_2,355,101.84375266119592,True,0.0,0,2,1.0,651.6977909478214,665.1067326385119,13.408941690690426,2.0575398408499534
