step,horizon_s,perfect,predicted,action_difference_tiers,actions_differ
175,10,3.0,1.0,-2.0,True
176,3,1.0,1.0,0.0,False
176,5,3.0,3.0,0.0,False
176,10,3.0,1.0,-2.0,True
177,3,1.0,1.0,0.0,False
177,5,3.0,3.0,0.0,False
177,10,3.0,1.0,-2.0,True
178,3,1.0,1.0,0.0,False
178,5,3.0,3.0,0.0,False
178,10,3.0,1.0,-2.0,True
179,3,1.0,1.0,0.0,False
179,5,3.0,3.0,0.0,False
179,10,3.0,1.0,-2.0,True
180,3,2.0,2.0,0.0,False
180,5,3.0,3.0,0.0,False
180,10,3.0,2.0,-1.0,True
181,3,2.0,2.0,0.0,False
181,5,3.0,3.0,0.0,False
181,10,3.0,2.0,-1.0,True
182,3,2.0,2.0,0.0,False
182,5,3.0,2.0,-1.0,True
182,10,3.0,2.0,-1.0,True
183,3,2.0,2.0,0.0,False
183,5,3.0,2.0,-1.0,True
183,10,4.0,2.0,-2.0,True
184,3,2.0,2.0,0.0,False
184,5,4.0,2.0,-2.0,True
184,10,4.0,2.0,-2.0,True
185,3,2.0,2.0,0.0,False
185,5,4.0,2.0,-2.0,True
185,10,4.0,2.0,-2.0,True
186,3,2.0,2.0,0.0,False
186,5,4.0,2.0,-2.0,True
186,10,4.0,2.0,-2.0,True
187,3,2.0,2.0,0.0,False
187,5,4.0,2.0,-2.0,True
187,10,4.0,2.0,-2.0,True
188,3,2.0,2.0,0.0,False
188,5,4.0,2.0,-2.0,True
188,10,4.0,2.0,-2.0,True
189,3,2.0,2.0,0.0,False
189,5,4.0,2.0,-2.0,True
189,10,4.0,2.0,-2.0,True
190,3,2.0,2.0,0.0,False
190,5,4.0,2.0,-2.0,True
190,10,4.0,2.0,-2.0,True
191,3,2.0,2.0,0.0,False
191,5,4.0,2.0,-2.0,True
191,10,4.0,2.0,-2.0,True
192,3,2.0,2.0,0.0,False
192,5,4.0,2.0,-2.0,True
192,10,4.0,2.0,-2.0,True
193,3,2.0,2.0,0.0,False
193,5,4.0,2.0,-2.0,True
193,10,4.0,2.0,-2.0,True
194,3,2.0,2.0,0.0,False
194,5,4.0,2.0,-2.0,True
194,10,4.0,2.0,-2.0,True
195,3,3.0,3.0,0.0,False
195,5,4.0,2.0,-2.0,True
195,10,4.0,3.0,-1.0,True
196,3,3.0,3.0,0.0,False
196,5,4.0,2.0,-2.0,True
196,10,4.0,3.0,-1.0,True
197,3,3.0,3.0,0.0,False
197,5,4.0,3.0,-1.0,True
197,10,4.0,3.0,-1.0,True
198,3,3.0,3.0,0.0,False
198,5,4.0,3.0,-1.0,True
198,10,4.0,3.0,-1.0,True
199,3,3.0,3.0,0.0,False
199,5,4.0,3.0,-1.0,True
199,10,4.0,3.0,-1.0,True
200,3,3.0,3.0,0.0,False
200,5,4.0,3.0,-1.0,True
200,10,4.0,3.0,-1.0,True
201,3,3.0,3.0,0.0,False
201,5,4.0,3.0,-1.0,True
201,10,4.0,3.0,-1.0,True
202,3,3.0,3.0,0.0,False
202,5,4.0,3.0,-1.0,True
202,10,4.0,3.0,-1.0,True
203,3,3.0,3.0,0.0,False
203,5,3.0,3.0,0.0,False
203,10,3.0,3.0,0.0,False
204,3,3.0,3.0,0.0,False
204,5,3.0,3.0,0.0,False
204,10,3.0,3.0,0.0,False
205,3,3.0,3.0,0.0,False
205,5,3.0,3.0,0.0,False
205,10,3.0,3.0,0.0,False
206,3,3.0,3.0,0.0,False
206,5,3.0,3.0,0.0,False
