policy,seed,first_boundary_crossed,second_boundary_crossed,time_to_first_boundary_h,time_to_second_boundary_h,post_first_n_plus_one_reserve_h,first_boundary_total_damage_pct,first_boundary_damage_range_pct,final_elapsed_h,final_total_damage_pct,final_damage_range_pct,start_count,assignment_change_count,crossing_order,stack_0_crossing_h,stack_1_crossing_h,stack_2_crossing_h,stack_0_final_damage_pct,stack_1_final_damage_pct,stack_2_final_damage_pct
expected_n_plus_one,126,True,True,300.0,1343.0,1043.0,16.73651647160578,5.716975471585623,1343.0,27.665697843600793,0.5391058266314577,3,1,"(np.int64(2), np.int64(0), np.int64(1))",1343.0,,300.0,9.42433170237383,8.885225875742373,9.356140265484589
fixed_pair,127,True,True,1142.0,1446.0,304.0,24.792208718864458,1.9147818497471185,1446.0,27.871886968681373,0.2771045052333818,3,1,"(np.int64(1), np.int64(0), np.int64(2))",1446.0,1142.0,,9.354582125531627,9.397204674191563,9.120100168958182
order_blend_50,127,True,True,1454.0,1464.0,10.0,27.95509077848347,0.08608968022547536,1464.0,28.01885104855381,0.050737974482968795,11,9,"(np.int64(1), np.int64(0), np.int64(2))",1464.0,1454.0,,9.356016356041222,9.356786333497778,9.30604835901481
expected_n_plus_one,127,True,True,358.0,1468.0,1110.0,16.053576408454255,6.533043114934657,1468.0,28.029008248929202,0.1704154029084659,3,1,"(np.int64(2), np.int64(0), np.int64(1))",1468.0,,358.0,9.354015540670979,9.25228865267488,9.422704055583345
fixed_pair,128,True,True,1063.0,1454.0,391.0,22.71531821885965,3.4758192058367445,1454.0,26.823370473853984,1.242243111830792,3,1,"(np.int64(1), np.int64(2), np.int64(0))",,1063.0,1454.0,8.113385030948608,9.354357300125974,9.3556281427794
order_blend_50,128,True,True,1063.0,1454.0,391.0,22.71531821885965,3.4758192058367445,1454.0,26.823370473853984,1.242243111830792,3,1,"(np.int64(1), np.int64(2), np.int64(0))",,1063.0,1454.0,8.113385030948608,9.354357300125974,9.3556281427794
expected_n_plus_one,128,True,True,327.0,1458.0,1131.0,15.572271753801555,6.879375595339399,1458.0,26.837049338241712,1.2285891633113337,3,1,"(np.int64(2), np.int64(1), np.int64(0))",,1458.0,327.0,8.126628805148032,9.355202564634313,9.355217968459366
fixed_pair,129,True,True,920.0,1222.0,302.0,22.73545968780769,3.455805570265804,1222.0,25.909489053350224,2.1564138623841123,3,1,"(np.int64(1), np.int64(2), np.int64(0))",,920.0,1222.0,7.199326987075794,9.354421216814526,9.355740849459906
order_blend_50,129,True,True,920.0,1222.0,302.0,22.73545968780769,3.455805570265804,1222.0,25.909489053350224,2.1564138623841123,3,1,"(np.int64(1), np.int64(2), np.int64(0))",,920.0,1222.0,7.199326987075794,9.354421216814526,9.355740849459906
expected_n_plus_one,129,True,True,254.0,1251.0,997.0,15.500988027417977,7.229376218965228,1251.0,26.29480414953719,2.0919428926835453,3,1,"(np.int64(2), np.int64(1), np.int64(0))",,1251.0,254.0,7.402633524396946,9.397594208059752,9.494576417080491
