candidate_id,horizon,forecast_mode,confidence_form,confidence_rate,trend_weight,trusted_steps,forecast_block_size,move_block_size,max_horizon_switches,min_dwell,w_hydrogen,w_degradation_proxy,w_battery_use,w_soc,w_switch,w_smooth,horizon_s,n,h2_kg,degradation_proxy_sum,soc_final,soc_error,battery_throughput_kwh,switch_count,fc_total_variation_kw,internal_objective_sum,runtime_s,calibration_runs,selection_score,pareto
2,10,window_mean,exponential,0.05,0.25,5,5,5,1,40,0.7,3.5,0.5,3.0,0.3,0.8,20.0,7200.0,0.7676217299007211,402.25008568948385,0.5641857143551923,-0.1358142856448077,44.973261423455,73.0,442.97980050321655,12194.666585164032,19.318479100009426,2,108.18052620386733,False
24,10,cumulative_mean,hard_fallback,0.2,0.5,3,5,1,1,40,0.45,1.25,1.5,1.0,0.6,0.1,20.0,7200.0,0.6628871113533976,317.45927406807914,0.5097883439089265,-0.1902116560910735,45.00310318938595,64.0,399.0178083526099,8211.315314506406,40.48478659999091,2,109.99863716487057,False
11,10,cumulative_mean,exponential,0.2,0.25,2,2,1,1,10,1.0,3.5,4.0,3.0,0.15,0.3,20.0,7200.0,0.7438511004940923,380.1378964849274,0.5583629264714649,-0.14163707352853505,42.20985337045705,315.0,1699.3129876173475,19653.62639295051,46.004574599908665,2,110.92475188032006,False
15,5,window_mean,hard_fallback,0.02,0.5,2,3,1,1,10,1.0,2.0,1.5,2.0,0.6,0.1,10.0,7200.0,0.4463408508605131,223.07660355240608,0.4713920555105224,-0.22860794448947758,42.404056438943066,82.0,530.1802661505069,16171.105202581064,18.388879400095902,2,111.34403473198047,False
30,10,block_mean,adaptive,0.1,0.75,2,3,2,1,15,0.7,3.5,2.5,2.0,0.08,0.1,20.0,7200.0,0.6294555014482961,272.0866572745342,0.5116917106549004,-0.18830828934509958,42.64161202589557,217.0,1308.9730777146742,15694.566030527905,33.53166869992856,2,111.54866030658535,False
39,5,raw,linear,0.05,0.25,3,3,2,2,25,0.15,0.75,1.0,1.0,0.6,0.8,10.0,7200.0,0.5655047831118974,311.6476167335812,0.44460070879323804,-0.2553992912067619,47.81209848187606,32.0,139.3528286552209,10702.061715631626,13.04303939989768,2,112.0727240834631,False
18,10,window_mean,hard_fallback,0.35,1.0,2,5,3,2,40,0.45,2.0,0.5,1.0,0.03,0.04,20.0,7200.0,0.49403306249405887,182.82186406963933,0.45738149598523664,-0.24261850401476331,43.382750556179346,89.0,682.7735100342711,9118.445140345779,25.779419800033793,2,112.08676083977014,False
34,3,window_mean,hard_fallback,0.05,1.0,3,2,1,2,60,0.15,2.0,0.5,1.0,0.03,0.8,6.0,7200.0,0.5264790392784523,270.448510435881,0.4278027847391182,-0.27219721526088175,47.14502860727213,31.0,143.75825164779835,9879.826251941991,8.51593450002838,2,112.6229897678761,False
20,3,window_mean,linear,0.05,0.75,3,2,1,1,40,0.3,2.0,0.5,1.0,0.3,0.3,6.0,7200.0,0.5121917988170159,258.73042605080843,0.41894029656493664,-0.2810597034350633,47.6496840131647,28.0,124.52249145208967,10403.177665596166,8.911665699910372,2,112.90915019545996,False
38,3,raw,linear,0.02,0.25,3,3,3,2,40,0.45,1.25,4.0,1.0,0.3,0.1,6.0,7200.0,0.44514210787586805,171.46307153285676,0.4286373515279495,-0.27136264847205044,42.97275567611679,89.0,625.3452875458192,14258.582142302592,5.171258699963801,2,113.10113277944532,False
27,10,block_mean,exponential,0.35,0.5,1,2,3,1,15,0.7,2.0,2.5,1.0,0.03,0.04,20.0,7200.0,0.36754347866984366,168.75018130334993,0.4559025475011372,-0.24409745249886278,40.071846823518115,240.0,1382.4664765041045,12266.726914003655,20.031082800007425,2,113.49262614112087,False
17,3,cumulative_mean,linear,0.1,0.25,5,5,3,2,40,0.45,6.0,0.5,2.0,0.15,0.3,6.0,7200.0,0.19955074884391655,62.60356431677618,0.3516542343592002,-0.3483457656407998,43.56765156312575,31.0,146.66667474466936,17923.899866448886,6.522614500019699,2,114.92032841952057,False
40,10,window_mean,linear,0.35,0.75,5,2,1,1,15,0.7,2.0,1.5,1.0,0.03,0.01,20.0,7200.0,0.23538872429597227,93.74283991625217,0.40543656226330926,-0.2945634377366907,39.83436154562739,219.0,1256.4243056928794,11965.40503205199,35.28072669997346,2,114.98999274337746,False
43,10,block_mean,hard_fallback,0.1,1.0,5,5,5,1,60,0.45,6.0,4.0,1.0,0.03,0.3,20.0,7200.0,0.12160581610899468,36.900494350903585,0.35367567542889955,-0.3463243245711004,41.33651792247535,66.0,258.82477391464806,15883.339266234561,13.870114999939688,2,114.99614163161117,False
26,10,block_mean,adaptive,0.2,0.25,1,5,3,1,40,0.7,3.5,1.5,1.0,0.15,0.04,20.0,7200.0,0.11490173497264629,34.525258820246634,0.34978497699617345,-0.3502150230038265,41.07204938523093,88.0,345.0996985528641,12736.410847605324,18.333156100008637,2,115.34565141631387,False
29,10,cumulative_mean,linear,0.05,0.75,3,2,5,1,25,0.3,6.0,2.5,1.0,0.03,0.04,20.0,7200.0,0.09301357603079366,25.25794087921273,0.3441474821829904,-0.35585251781700955,40.70859536190805,129.0,468.45874442900305,14061.46560096191,16.089955100091174,2,115.87619166747442,False
44,3,window_mean,hard_fallback,0.1,1.0,3,3,1,2,10,0.7,3.5,2.5,1.0,0.3,0.3,6.0,7200.0,0.13155982267038077,36.11696490133079,0.32447288770214056,-0.3755271122978594,43.14926111907536,51.0,216.63840592075886,14354.403567941888,9.207529000123031,2,116.0635066784224,False
10,3,block_mean,adaptive,0.35,1.0,5,5,3,1,10,0.15,6.0,1.0,1.0,0.03,0.04,6.0,7200.0,0.10524963405183745,31.43693466770182,0.3464552044997376,-0.35354479550026235,40.02869086624174,224.0,900.8912208861575,12118.012663752685,5.519731700071134,2,116.76014387667523,False
