point_mae_kw,point_rmse_kw,point_nrmse_range_pct,window_mean_rmse_kw,window_energy_mae_kwh,high_power_f1,braking_f1,ramp_risk_mae_kw,feature_group,horizon_s,split,n,feature_count,runtime_s
8.000763712922732,16.089677767805426,3.6106537628912663,12.894333301966798,0.005534569592925539,0.8857056996894721,0.9036178631995477,11.561101794894933,all_available,3,validation,31655,329,26.66214890003903
7.675855958961956,15.338085480680034,3.4419903776555847,12.275109770161425,0.005277910990101779,0.8605434538513361,0.8952996384337256,11.326695190995517,all_available,3,test,31245,329,26.68819330004044
11.733955047367493,23.738355988818444,5.32707898895171,17.879110816690382,0.013462173193117813,0.8324855590999224,0.8606000740832201,19.9530121486188,base,5,validation,31649,161,23.584030199970584
10.972127419052473,22.305417579599936,5.005516025795989,16.69156255498802,0.012490112122073136,0.8173339613754121,0.8449240607513989,19.472319325739548,base,5,test,31243,161,23.616171000001486
11.74645263999139,23.76131292994763,5.332230712129065,17.89816088369969,0.013497018426445287,0.8334907685702018,0.8584339213865676,19.957418469104265,base_route,5,validation,31649,166,24.499625900003593
10.98077626871416,22.317085418033844,5.008134383065425,16.703244909763672,0.012503274331938583,0.8174484052532833,0.8444622685649354,19.42386794255746,base_route,5,test,31243,166,24.531113000004552
11.760910753532933,23.791828951734516,5.33907875411495,17.93999157526097,0.013509673799672982,0.835221421215242,0.860229657982467,19.96497776522557,base_intent,5,validation,31649,189,24.075611200009007
10.98050585886708,22.30929468613409,5.006386079845468,16.7081159772013,0.012509749935196044,0.8178739416745061,0.844728775156604,19.347504296637613,base_intent,5,test,31243,189,24.109933600004297
11.799552249033969,23.807048513383233,5.342494146786546,17.928923715396497,0.01354260481629506,0.8342965582679203,0.8579735246814302,19.97296638719747,base_power_chain,5,validation,31649,269,39.62207630003104
11.078649289365897,22.416846680667636,5.030521616888108,16.80838181357011,0.012636663772673995,0.8136428233064898,0.8420561992275936,19.505929942341893,base_power_chain,5,test,31243,269,39.65423510002438
11.782725175027965,23.82392249873907,5.346280805512673,17.95987420254135,0.013551138956497842,0.8330606973740853,0.8598639455782313,20.02080238482908,base_health,5,validation,31649,188,25.718236100045033
10.993917293673297,22.352111927153338,5.015994614872323,16.73932640199584,0.012533052062976426,0.8165068621921414,0.8454515161612796,19.386666715735217,base_health,5,test,31243,188,25.75084460002836
