policy,effective_policy,first_boundary_crossed,second_boundary_crossed,time_to_first_boundary_h,time_to_second_boundary_h,post_first_n_plus_one_reserve_h,first_boundary_total_damage_pct,first_boundary_damage_range_pct,final_elapsed_h,final_total_damage_pct,final_damage_range_pct,start_count,assignment_change_count,crossing_order,stack_0_crossing_h,stack_1_crossing_h,stack_2_crossing_h,stack_0_final_damage_pct,stack_1_final_damage_pct,stack_2_final_damage_pct,scenario_id,local_seed,simulation_seed
order_blend_50,order_blend_50,True,True,1078.0,1393.0,315.0,23.64722992356773,2.541691606828241,1393.0,27.21756677977225,0.846108545430889,3,1,"(np.int64(1), np.int64(2), np.int64(0))",,1078.0,1393.0,8.5091044406828,9.353249352975762,9.355212986113688,reference,6,6
order_blend_75,order_blend_75,True,True,333.0,1401.0,1068.0,16.24451074031593,6.26272596731776,1401.0,27.286941510177826,0.832813722678166,3,1,"(np.int64(2), np.int64(1), np.int64(0))",,1401.0,333.0,8.55019892502757,9.353729937444522,9.383012647705735,reference,6,6
order_blend_90,order_blend_90,True,True,333.0,1401.0,1068.0,16.24451074031593,6.26272596731776,1401.0,27.286941510177826,0.832813722678166,3,1,"(np.int64(2), np.int64(1), np.int64(0))",,1401.0,333.0,8.55019892502757,9.353729937444522,9.383012647705735,reference,6,6
order_blend_99,order_blend_99,True,True,333.0,1401.0,1068.0,16.24451074031593,6.26272596731776,1401.0,27.286941510177826,0.832813722678166,3,1,"(np.int64(2), np.int64(1), np.int64(0))",,1401.0,333.0,8.55019892502757,9.353729937444522,9.383012647705735,reference,6,6
fixed_pair,fixed_pair,True,True,1135.0,1412.0,277.0,23.432276572900438,2.7588717280164383,1412.0,26.86697273618143,1.2262682252017694,3,1,"(np.int64(1), np.int64(2), np.int64(0))",,1135.0,1412.0,8.143170886371724,9.354362738236215,9.369439111573493,reference,7,7
order_blend_25,order_blend_25,True,True,1382.0,1431.0,49.0,26.65739584846757,1.4993218233153396,1431.0,27.114339608760254,1.3087074014105564,24,22,"(np.int64(2), np.int64(1), np.int64(0))",,1431.0,1382.0,8.222158343407179,9.36131552053534,9.530865744817735,reference,7,7
order_blend_50,order_blend_50,True,True,1135.0,1412.0,277.0,23.432276572900438,2.7588717280164383,1412.0,26.86697273618143,1.2262682252017694,3,1,"(np.int64(1), np.int64(2), np.int64(0))",,1135.0,1412.0,8.143170886371724,9.354362738236215,9.369439111573493,reference,7,7
order_blend_75,order_blend_75,True,True,353.0,1421.0,1068.0,16.0366046561784,6.534757764250464,1421.0,26.955351025612167,1.2280006902521396,3,1,"(np.int64(2), np.int64(1), np.int64(0))",,1421.0,353.0,8.187074813851181,9.353200707657667,9.41507550410332,reference,7,7
order_blend_90,order_blend_90,True,True,353.0,1421.0,1068.0,16.0366046561784,6.534757764250464,1421.0,26.955351025612167,1.2280006902521396,3,1,"(np.int64(2), np.int64(1), np.int64(0))",,1421.0,353.0,8.187074813851181,9.353200707657667,9.41507550410332,reference,7,7
order_blend_99,order_blend_99,True,True,353.0,1421.0,1068.0,16.0366046561784,6.534757764250464,1421.0,26.955351025612167,1.2280006902521396,3,1,"(np.int64(2), np.int64(1), np.int64(0))",,1421.0,353.0,8.187074813851181,9.353200707657667,9.41507550410332,reference,7,7
fixed_pair,fixed_pair,True,True,1114.0,1395.0,281.0,22.756745177793036,3.438032981536124,1395.0,25.91058846413035,2.155017568304592,3,1,"(np.int64(1), np.int64(2), np.int64(0))",,1114.0,1395.0,7.201160099137766,9.356177667442358,9.353250697550225,reference,8,8
order_blend_25,order_blend_25,True,True,1374.0,1384.0,10.0,25.80064297087327,2.225825000165705,1384.0,25.86968798359851,2.1938584418710105,21,19,"(np.int64(1), np.int64(2), np.int64(0))",,1374.0,1384.0,7.160861837014147,9.354720278885157,9.354105867699207,reference,8,8
order_blend_50,order_blend_50,True,True,1114.0,1395.0,281.0,22.756745177793036,3.438032981536124,1395.0,25.91058846413035,2.155017568304592,3,1,"(np.int64(1), np.int64(2), np.int64(0))",,1114.0,1395.0,7.201160099137766,9.356177667442358,9.353250697550225,reference,8,8
