load_source,load_seed,strategy,terminal_cv_assumption,gamma_scale_pct,cycle_repeats,actual_exposure_hours,continuous_mean_pct,discrete_damage_pct,discrete_fraction,total_mean_pct,total_std_pct,total_p05_pct,total_p50_pct,total_p95_pct
zuo_fast_30s,2028,average,0.05,0.033544182501852184,30000,1000.0,5.606749999998,127.8339,0.9579831932773254,133.43834530095236,0.43109040887319405,132.75335872315162,133.4242215901403,134.17217592728497
zuo_fast_30s,2028,rotating,0.05,0.033544182501852184,30000,1000.0,5.944249999998,310.478999999997,0.9812142438964326,316.4208812948387,0.4438617250879818,315.7149979256978,316.40666522441836,317.1759369447774
zuo_fast_30s,2028,instant_health,0.05,0.033544182501852184,30000,1000.0,5.779999999998,126.0549,0.956157284603712,131.83256220971163,0.4376929559736867,131.13677226109067,131.81839074808295,132.5773659068077
zuo_fast_30s,2029,average,0.05,0.033544182501852184,30000,1000.0,4.099999999998,131.48085,0.9697597411433985,135.57587107594267,0.36913419102506373,134.98774366165722,135.56461142668644,136.2079503469568
zuo_fast_30s,2029,rotating,0.05,0.033544182501852184,30000,1000.0,4.699999999998,194.38185,0.9763916198287386,199.0765248227824,0.39523535220867934,198.44537804919,199.06525168686971,199.75201355452168
zuo_fast_30s,2029,instant_health,0.05,0.033544182501852184,30000,1000.0,4.640749999998,129.70185,0.9654558568912759,134.3373079897724,0.3927350193003981,133.71028198609477,134.3260361386337,135.00863860530484
zuo_fast_30s,2030,average,0.05,0.033544182501852184,30000,1000.0,4.8533749999980005,131.48085,0.9644009052019177,136.33915955797175,0.40189355316197606,135.6972340301891,136.3366944799766,137.0225913398531
zuo_fast_30s,2030,rotating,0.05,0.033544182501852184,30000,1000.0,5.240874999999,249.80175,0.9794509839286707,255.04775673748114,0.4176261438166404,254.37993275633576,255.04562935789733,255.7572195377198
zuo_fast_30s,2030,instant_health,0.05,0.033544182501852184,30000,1000.0,5.026624999998,129.70185,0.9626907006852258,134.73349865571194,0.4090023709993203,134.07987065458255,134.73118616765368,135.42869282143806
zuo_fast_30s,2031,average,0.05,0.033544182501852184,30000,1000.0,4.8533749999980005,131.48085,0.9644009052019177,136.332094133781,0.4064375753277191,135.68103182425654,136.32531067201512,137.01282880856522
zuo_fast_30s,2031,rotating,0.05,0.033544182501852184,30000,1000.0,5.5149999999990005,312.34695,0.9826497006011602,317.8596673395034,0.43325609592830955,317.16426889928056,317.8531847743261,318.5841637516903
zuo_fast_30s,2031,instant_health,0.05,0.033544182501852184,30000,1000.0,5.394124999998,127.92285,0.9595390984531559,133.31471936083764,0.428481838287175,132.6272133708017,133.3081832252202,134.03142560501377
zuo_fast_30s,2032,average,0.05,0.033544182501852184,30000,1000.0,4.8533749999980005,127.83389999999702,0.9634224532834954,132.6879737469424,0.4039629373299485,132.04393116694894,132.6799835413886,133.3755264426395
zuo_fast_30s,2032,rotating,0.05,0.033544182501852184,30000,1000.0,5.675124999998999,194.38185,0.9716324562040437,200.05772874062572,0.43682113845036147,199.35966647514056,200.04999967771153,200.79970927414448
zuo_fast_30s,2032,instant_health,0.05,0.033544182501852184,30000,1000.0,5.588374999998,127.83389999999702,0.9581151273278903,133.4230231320176,0.4334700111596346,132.73046993924456,133.4152674315201,134.15945298717116
zuo_fast_30s,2033,average,0.05,0.033544182501852184,30000,1000.0,4.099999999998,124.186949999997,0.9680403969382845,128.27583480617554,0.3671705591056369,127.70051012481673,128.2621392826069,128.89720963392824
zuo_fast_30s,2033,rotating,0.05,0.033544182501852184,30000,1000.0,5.129124999998999,255.4149,0.9803137876602657,260.5316128076889,0.41071163013302175,259.88576151940265,260.5175910066605,261.22465980183375
zuo_fast_30s,2033,instant_health,0.05,0.033544182501852184,30000,1000.0,5.008249999998,124.186949999997,0.961235014923169,129.182932921685,0.40583957454014397,128.54497266405863,129.16894760323362,129.86796078401983
zuo_fast_30s,2034,average,0.05,0.033544182501852184,30000,1000.0,4.8533749999980005,131.48085,0.9644009052019177,136.33752401974533,0.40021162905107954,135.69604957348773,136.32543758351926,137.01563307579613
zuo_fast_30s,2034,rotating,0.05,0.033544182501852184,30000,1000.0,4.968999999999,312.435899999997,0.9843449171704687,317.40824018512734,0.4049539138276793,316.7589359628156,317.39614084191794,318.0941651836482
zuo_fast_30s,2034,instant_health,0.05,0.033544182501852184,30000,1000.0,4.832374999998,129.70185,0.9640807013977442,134.5375164906471,0.3993442881384655,133.89747408750583,134.52543241551626,135.21419603276223
zuo_fast_30s,2035,average,0.05,0.033544182501852184,30000,1000.0,4.8533749999980005,131.48085,0.9644009052019177,136.33656831721825,0.40284465566712363,135.69658210078825,136.32310354217284,137.02393181094527
zuo_fast_30s,2035,rotating,0.05,0.033544182501852184,30000,1000.0,5.037375,249.80175,0.9802331176580519,254.84151307188682,0.4104103496634226,254.18914133300964,254.82800441619452,255.54143491827008
zuo_fast_30s,2035,instant_health,0.05,0.033544182501852184,30000,1000.0,4.832374999998,129.70185,0.9640807013977442,134.5365631556836,0.40197212642943997,133.8980053477801,134.52310344198628,135.2224783073529
empirical_1s,2026,average,0.1,0.13417673000740873,30000,1000.0,4.099999999998,127.83389999999702,0.9689238323130132,131.94144953819372,0.7443064870885207,130.80222822478785,131.8984431517224,133.22687734995435
empirical_1s,2026,rotating,0.1,0.13417673000740873,30000,1000.0,3.451725,253.53764999999999,0.9865686081379823,256.9963147720224,0.6830079123964504,255.9579397429078,256.9531682353082,258.1811945175896
empirical_1s,2026,instant_health,0.1,0.13417673000740873,30000,1000.0,3.4266,127.8339,0.9738946598557829,131.26741502214668,0.6805209151657892,130.2331330126936,131.22426288799036,132.44821356864034
empirical_1s,2027,average,0.1,0.13417673000740873,30000,1000.0,4.099999999998,127.8339,0.9689238323130138,131.93446385557635,0.7306742951624109,130.80428948422966,131.89584666163972,133.20367514497306
empirical_1s,2027,rotating,0.1,0.13417673000740873,30000,1000.0,3.452033333331,253.715549999997,0.9865767166740583,257.1679969142539,0.6703800397671841,256.1379489399303,257.128997039438,258.337848050509
empirical_1s,2027,instant_health,0.1,0.13417673000740873,30000,1000.0,3.4266,127.8339,0.9738946598557829,131.26090740473404,0.6679025129727276,130.2349750599769,131.22189189239316,132.42667410222552
empirical_1s,2028,average,0.1,0.13417673000740873,30000,1000.0,4.099999999998,127.83389999999702,0.9689238323130132,131.92368652268235,0.7446957936170033,130.79530269874655,131.8655752647702,133.23721654090636
empirical_1s,2028,rotating,0.1,0.13417673000740873,30000,1000.0,3.5831166666659997,253.6266,0.9860692795237219,257.20019546528727,0.696230931681302,256.15087971921423,257.14297173154483,258.432544431608
empirical_1s,2028,instant_health,0.1,0.13417673000740873,30000,1000.0,3.446025,127.8339,0.9737505563017347,131.2705957800008,0.6827991056393319,130.24320084946072,131.21361867372886,132.48043651243114
empirical_1s,2029,average,0.1,0.13417673000740873,30000,1000.0,4.099999999998,120.53999999999999,0.9671052631579102,124.64607286958652,0.7409387885273032,123.5060388721505,124.60219884680538,125.95072519437888
empirical_1s,2029,rotating,0.1,0.13417673000740873,30000,1000.0,5.675124999998999,192.60285,0.9713779354464406,198.2851635412545,0.8715359907828029,196.92912638129104,198.24136967287484,199.80763376233858
empirical_1s,2029,instant_health,0.1,0.13417673000740873,30000,1000.0,5.569999999998,120.53999999999999,0.9558322099754334,126.11711937051506,0.8634359298462799,124.77447355898481,126.073320242166,127.62608661832158
empirical_1s,2030,average,0.1,0.13417673000740873,30000,1000.0,4.099999999998,135.127799999997,0.9705518581777622,139.21243115414654,0.7369764655923107,138.07882074971212,139.17531586054167,140.4627507097121
empirical_1s,2030,rotating,0.1,0.13417673000740873,30000,1000.0,3.6601333333320003,255.4056,0.9858717967589229,259.051209753527,0.6961152623903977,257.98499045199395,259.01369872799097,260.2356982292862
empirical_1s,2030,instant_health,0.1,0.13417673000740873,30000,1000.0,3.5496249999989997,131.569799999997,0.9737297209487156,135.10512168570278,0.6854689327314751,134.05646568691546,135.0675078997789,136.27245223042013
empirical_1s,2031,average,0.1,0.13417673000740873,30000,1000.0,4.099999999998,142.421699999997,0.9720177966813234,146.52362599667146,0.7381525333209996,145.38074697426117,146.47987765226185,147.8137378535443
empirical_1s,2031,rotating,0.1,0.13417673000740873,30000,1000.0,3.8419166666640003,259.1415,0.9853910306765323,262.9852670619785,0.7145370061060893,261.8817058533463,262.9415090816425,264.2362500058934
empirical_1s,2031,instant_health,0.1,0.13417673000740873,30000,1000.0,3.736875,131.569799999997,0.9723821829189131,135.3084938946745,0.7046987628519304,134.22131519592182,135.2647320752917,136.54317246059136
empirical_1s,2032,average,0.1,0.13417673000740873,30000,1000.0,4.099999999998,120.53999999999999,0.9671052631579102,124.64061101432569,0.7281982627533412,123.51257967614228,124.60053969288575,125.90988863852638
empirical_1s,2032,rotating,0.1,0.13417673000740873,30000,1000.0,5.675124999998999,192.60285,0.9713779354464406,198.27896072309952,0.8569470379742116,196.93709917657813,198.2394144722133,199.760784534887
empirical_1s,2032,instant_health,0.1,0.13417673000740873,30000,1000.0,5.569999999998,120.53999999999999,0.9558322099754334,126.11096252214689,0.8489614592566738,124.78235750938667,126.07138338898564,127.57961030085943
empirical_1s,2033,average,0.1,0.13417673000740873,30000,1000.0,4.099999999998,142.4217,0.9720177966813239,146.52653272740807,0.74142740966429,145.40147010934925,146.47437235152702,147.83761064801266
