block_id,policy,fleet_progress_budget,step,elapsed_s,timestamp,vehicle_target_power_kw,mapped_demand_kw,actual_total_power_kw,tracking_error_kw,stack_1_current_a,stack_1_power_kw,stack_1_h_before,stack_1_h_increment,stack_1_h_after,stack_2_current_a,stack_2_power_kw,stack_2_h_before,stack_2_h_increment,stack_2_h_after,stack_3_current_a,stack_3_power_kw,stack_3_h_before,stack_3_h_increment,stack_3_h_after
external_2026-04_s3,health_reserve_0.20,0.03,76,760,2026-04-11 07:53:42,40.0,69.96084550047084,67.75833182938462,-2.2025136710862228,370.0,43.30226613076124,0.30317017564987014,0.0001452430107843895,0.30331541866065453,195.0,24.45606569862338,0.36319346071376596,8.202971648833775e-05,0.3632754904302543,0.0,0.0,0.42,0.0,0.42
external_2026-04_s3,health_reserve_0.20,0.03,77,770,2026-04-11 07:53:52,40.0,69.96084550047084,67.75806755198388,-2.202777948486954,370.0,43.30203358604129,0.30331541866065453,0.00014524279728025821,0.30346066145793477,195.0,24.4560339659426,0.3632754904302543,8.202992999246904e-05,0.36335752036024677,0.0,0.0,0.42,0.0,0.42
external_2026-04_s3,health_reserve_0.20,0.03,78,780,2026-04-11 07:54:02,40.0,69.96084550047084,67.7578061042232,-2.2030393962476325,370.0,43.301803871047646,0.30346066145793477,0.00014524258720041922,0.3036059040451352,195.0,24.456002233175564,0.36335752036024677,8.203014007230804e-05,0.36343955050031906,0.0,0.0,0.42,0.0,0.42
external_2026-04_s3,health_reserve_0.20,0.03,79,790,2026-04-11 07:54:12,40.0,69.96084550047084,67.75757026137975,-2.2032752390910844,370.0,43.30159986334005,0.3036059040451352,0.00014524240846078485,0.303751146453596,195.0,24.455970398039696,0.36343955050031906,8.203031881194237e-05,0.363521580819131,0.0,0.0,0.42,0.0,0.42
external_2026-04_s3,health_reserve_0.20,0.03,80,800,2026-04-11 07:54:22,40.0,69.96084550047084,67.75734220409174,-2.203503296379097,370.0,43.301403939224485,0.303751146453596,0.00014524224014517603,0.3038963886937412,195.0,24.45593826486726,0.363521580819131,8.203048712755123e-05,0.36360361130625857,0.0,0.0,0.42,0.0,0.42
external_2026-04_s3,health_reserve_0.20,0.03,81,810,2026-04-11 07:54:32,40.0,69.96084550047084,67.757113620049,-2.2037318804218415,370.0,43.30120801531904,0.3038963886937412,0.00014524207295827426,0.3040416307666995,195.0,24.455905604729956,0.36360361130625857,8.203065431445297e-05,0.363685641960573,0.0,0.0,0.42,0.0,0.42
external_2026-04_s3,health_reserve_0.20,0.03,82,820,2026-04-11 07:54:42,40.0,69.96084550047084,67.75688503613472,-2.20396046433612,370.0,43.30101209161851,0.3040416307666995,0.00014524190577065642,0.30418687267247013,195.0,24.4558729445162,0.363685641960573,8.203082150207081e-05,0.36376767278207506,0.0,0.0,0.42,0.0,0.42
external_2026-04_s3,health_reserve_0.20,0.03,83,830,2026-04-11 07:54:52,40.0,69.96084550047084,67.75665645235362,-2.2041890481172146,370.0,43.30081616812626,0.30418687267247013,0.00014524173858232366,0.30433211441105246,195.0,24.455840284227364,0.36376767278207506,8.20309886904036e-05,0.3638497037707655,0.0,0.0,0.42,0.0,0.42
external_2026-04_s3,health_reserve_0.20,0.03,84,840,2026-04-11 07:55:02,40.0,69.96084550047084,67.75642786870365,-2.2044176317671855,370.0,43.30062024483977,0.30433211441105246,0.00014524157139327195,0.30447735598244574,195.0,24.45580762386388,0.3638497037707655,8.203115587945531e-05,0.36393173492664493,0.0,0.0,0.42,0.0,0.42
external_2026-04_s3,health_reserve_0.20,0.03,85,850,2026-04-11 07:55:12,40.0,69.96084550047084,67.7561999065975,-2.2046455938733374,370.0,43.30042432176072,0.30447735598244574,0.00014524140287145384,0.3046225973853172,195.0,24.45577558483678,0.36393173492664493,8.203132440127341e-05,0.3640137662510462,0.0,0.0,0.42,0.0,0.42
