i0_A_per_cm2,ih_A_per_cm2,R_ohm_cm2
1.9061099999999999e-07,0.00205,0.04091
1.9061099999999999e-07,0.00205,0.04091
1.9061099999999999e-07,0.00205,0.04091
1.9061099999999999e-07,0.00205,0.04091
1.9061099999999999e-07,0.00205,0.04091
1.9061099999999999e-07,0.00205,0.04091
1.9060999999999998e-07,0.00205,0.04092
1.90609e-07,0.00205,0.04092
1.90609e-07,0.00205,0.04092
1.90609e-07,0.00205,0.04092
1.9060699999999998e-07,0.00205,0.04093
1.9060699999999998e-07,0.00205,0.04093
1.9060699999999998e-07,0.00205,0.04093
1.9060799999999998e-07,0.00205,0.04092
1.9060699999999998e-07,0.00205,0.04092
1.9060799999999998e-07,0.00205,0.04092
1.9060799999999998e-07,0.00205,0.04092
1.9060699999999998e-07,0.00205,0.04092
1.90606e-07,0.00205,0.04092
1.90606e-07,0.00205,0.04092
1.90606e-07,0.00205,0.04092
1.90606e-07,0.00205,0.04093
1.90606e-07,0.00205,0.04093
1.90605e-07,0.00205,0.04093
1.90605e-07,0.00206,0.04093
1.90606e-07,0.00205,0.04093
1.9059999999999997e-07,0.00205,0.04095
1.90599e-07,0.00205,0.04095
1.90599e-07,0.00205,0.04095
1.90599e-07,0.00205,0.04095
1.90599e-07,0.00205,0.04096
1.90599e-07,0.00205,0.04095
1.90599e-07,0.00205,0.04095
1.90599e-07,0.00205,0.04095
1.90598e-07,0.00205,0.04095
1.90598e-07,0.00205,0.04095
1.90598e-07,0.00205,0.04096
1.90597e-07,0.00205,0.04096
1.90597e-07,0.00206,0.04096
1.90597e-07,0.00206,0.04096
1.90596e-07,0.00206,0.04096
1.90595e-07,0.00206,0.04097
1.90596e-07,0.00206,0.04097
1.90595e-07,0.00206,0.04097
1.90595e-07,0.00206,0.04097
1.90594e-07,0.00206,0.04097
1.90594e-07,0.00206,0.04097
1.90595e-07,0.00206,0.04097
1.9059e-07,0.00206,0.041
1.90589e-07,0.00206,0.041
1.90589e-07,0.00206,0.041
1.90589e-07,0.00206,0.041
1.9058799999999999e-07,0.00206,0.04101
1.9058799999999999e-07,0.00206,0.04101
1.9058799999999999e-07,0.00206,0.04101
1.9058799999999999e-07,0.00206,0.04101
1.9058799999999999e-07,0.00206,0.04101
1.9058799999999999e-07,0.00206,0.04101
1.9058699999999998e-07,0.00206,0.04101
1.90586e-07,0.00206,0.04101
1.9058699999999998e-07,0.00206,0.04101
1.9058699999999998e-07,0.00206,0.04101
1.90585e-07,0.00206,0.04102
1.9058399999999998e-07,0.00206,0.04103
1.9058399999999998e-07,0.00206,0.04102
1.90585e-07,0.00206,0.04102
1.90585e-07,0.00206,0.04102
1.90585e-07,0.00206,0.04102
1.9058399999999998e-07,0.00206,0.04102
1.9058399999999998e-07,0.00206,0.04102
1.9058299999999998e-07,0.00206,0.04102
1.9058299999999998e-07,0.00206,0.04102
1.9058399999999998e-07,0.00206,0.04102
1.9058299999999998e-07,0.00206,0.04103
1.9058299999999998e-07,0.00206,0.04103
1.9058399999999998e-07,0.00206,0.04102
1.9058399999999998e-07,0.00206,0.04102
1.9058399999999998e-07,0.00206,0.04102
1.9058399999999998e-07,0.00206,0.04102
1.9058399999999998e-07,0.00206,0.04102
1.9058299999999998e-07,0.00206,0.04102
1.90582e-07,0.00206,0.04102
1.90582e-07,0.00206,0.04102
1.90582e-07,0.00206,0.04102
1.90582e-07,0.00206,0.04103
1.90582e-07,0.00206,0.04102
1.90582e-07,0.00206,0.04102
1.90581e-07,0.00206,0.04103
