load_source,load_seed,continuous_multiplier,start_stop_multiplier,shift_multiplier,reference_strategy,total_damage_pct_delta,total_damage_pct_relative_pct,aged_stack_increment_pct_delta,aged_stack_increment_pct_relative_pct,max_terminal_damage_pct_delta,max_terminal_damage_pct_relative_pct,increment_range_pct_delta,increment_range_pct_relative_pct
empirical_1s,2026,1.0,2.0,1.0,average,-2.24466666666652e-05,-0.26672063924229633,0.0,0.0,0.0,0.0,-2.2446666666666067e-05,-0.5207402956635511
empirical_1s,2026,1.0,2.0,2.0,average,-2.2446666666666934e-05,-0.2592315136826074,0.0,0.0,0.0,0.0,-2.2446666666666067e-05,-0.5061186695707853
empirical_1s,2026,2.0,0.0,0.0,average,-4.48933333333333e-05,-16.424390243902426,0.0,0.0,0.0,0.0,-6.666666666666675e-06,-4.761904761904767
empirical_1s,2026,2.0,0.0,0.1,average,-4.4893333333333326e-05,-15.082777210985295,0.0,0.0,0.0,0.0,-7.259666666666661e-06,-4.761904761904757
empirical_1s,2026,2.0,0.0,0.5,average,-4.4893333333333326e-05,-11.36832686894095,0.0,0.0,0.0,0.0,-9.631666666666685e-06,-4.76190476190477
empirical_1s,2026,2.0,0.0,1.0,average,-4.4893333333333326e-05,-8.692453158985147,0.0,0.0,0.0,0.0,-1.2596666666666667e-05,-4.761904761904762
empirical_1s,2026,2.0,0.0,2.0,average,-4.4893333333333326e-05,-5.910180008601094,0.0,0.0,0.0,0.0,-1.8526666666666687e-05,-4.761904761904767
empirical_1s,2026,2.0,0.1,0.0,average,-4.4893333333333434e-05,-6.64955070603339,0.0,0.0,0.0,0.0,-1.6466666666666724e-05,-4.761904761904778
empirical_1s,2026,2.0,0.1,0.1,average,-4.4893333333333434e-05,-6.418409989996864,0.0,0.0,0.0,0.0,-1.7059666666666736e-05,-4.7619047619047805
empirical_1s,2026,2.0,0.1,0.5,average,-4.4893333333333326e-05,-5.6349224612410795,0.0,0.0,0.0,0.0,-1.9431666666666733e-05,-4.761904761904778
empirical_1s,2026,2.0,0.1,1.0,average,-4.4893333333333326e-05,-4.888938902783877,0.0,0.0,0.0,0.0,-2.239666666666669e-05,-4.761904761904766
empirical_1s,2026,2.0,0.1,2.0,average,-4.489333333333322e-05,-3.8654719331377727,0.0,0.0,0.0,0.0,-2.8326666666666708e-05,-4.761904761904769
empirical_1s,2026,2.0,0.5,0.0,average,-4.4893333333333e-05,-1.966992843581116,0.0,0.0,0.0,0.0,-4.489333333333322e-05,-3.8403193612774356
empirical_1s,2026,2.0,0.5,0.1,average,-4.4893333333333e-05,-1.946259930904001,0.0,0.0,0.0,0.0,-4.489333333333322e-05,-3.7998408174792586
empirical_1s,2026,2.0,0.5,0.5,average,-4.4893333333333e-05,-1.8675221289863067,0.0,0.0,0.0,0.0,-4.489333333333322e-05,-3.6461146327828065
empirical_1s,2026,2.0,0.5,1.0,average,-4.4893333333333434e-05,-1.7776276036476513,0.0,0.0,0.0,0.0,-4.489333333333322e-05,-3.4706062737882553
empirical_1s,2026,2.0,0.5,2.0,average,-4.4893333333333e-05,-1.6215213983514976,0.0,0.0,0.0,0.0,-4.489333333333322e-05,-3.1658274920196057
empirical_1s,2026,2.0,1.0,0.0,average,-4.4893333333333e-05,-1.0461395059810394,0.0,0.0,0.0,0.0,-4.4893333333333434e-05,-2.0424628450106206
empirical_1s,2026,2.0,1.0,0.1,average,-4.4893333333333e-05,-1.0402458836022865,0.0,0.0,0.0,0.0,-4.4893333333333434e-05,-2.030956248937817
empirical_1s,2026,2.0,1.0,0.5,average,-4.489333333333387e-05,-1.0173208159867841,0.0,0.0,0.0,0.0,-4.4893333333333434e-05,-1.9861977835932263
empirical_1s,2026,2.0,1.0,1.0,average,-4.4893333333333e-05,-0.9900473337895849,0.0,0.0,0.0,0.0,-4.4893333333333434e-05,-1.9329495564463512
empirical_1s,2026,2.0,1.0,2.0,average,-4.489333333333387e-05,-0.9396641823847265,0.0,0.0,0.0,0.0,-4.4893333333333434e-05,-1.8345824513225435
empirical_1s,2026,2.0,2.0,0.0,average,-4.489333333333387e-05,-0.5402759948652183,0.0,0.0,0.0,0.0,-4.489333333333387e-05,-1.0548245614035212
empirical_1s,2026,2.0,2.0,0.1,average,-4.489333333333387e-05,-0.5386997664367791,0.0,0.0,0.0,0.0,-4.489333333333387e-05,-1.0517471630432353
empirical_1s,2026,2.0,2.0,0.5,average,-4.489333333333387e-05,-0.5324857631818263,0.0,0.0,0.0,0.0,-4.489333333333387e-05,-1.0396150614502322
empirical_1s,2026,2.0,2.0,1.0,average,-4.489333333333387e-05,-0.5249169927260786,0.0,0.0,0.0,0.0,-4.489333333333387e-05,-1.0248379381794865
empirical_1s,2026,2.0,2.0,2.0,average,-4.489333333333387e-05,-0.5104071053762589,0.0,0.0,0.0,0.0,-4.489333333333387e-05,-0.9965091104965055
zuo_slow_30s,2026,0.5,0.0,0.0,average,-1.294999999999999e-05,-18.951219512195106,0.0,0.0,0.0,0.0,-1.6666666666666688e-06,-4.761904761904767
