block_id,month,stratum,health_case,policy,positive_steps,above_40kw_steps,negative_power_steps,assignment,assignment_first,assignment_second,error,n_steps,fc_energy_kwh,hydrogen_g,hydrogen_g_per_fc_kwh,expected_damage_increment_pct,terminal_max_damage_pct,terminal_damage_range_pct,damage_increment_range_pct,tracking_mae_kw,tracking_rmse_kw,tracking_max_abs_kw,constraint_violation_steps,safety_override_steps,total_switch_count,planning_runtime_s
external_2025-09_s2,2025-09,2,oldest_stack_1,fixed_pair,1440,0,0,"(0, 1)",0,1,,1800,16.766562326723065,854.8280621392341,50.984098319115944,0.007178094722222223,7.48618002194487,6.550877168889315,0.0037571975004251357,1.131731061934671,1.5192664593927754,3.703221890258579,0,0,2,53.99943069391884
external_2025-09_s2,2025-09,2,oldest_stack_1,health_greedy,1440,0,0,"(2, 0)",2,0,,1800,16.81802654223687,853.6381987322532,50.75733449393853,0.007524894722222223,7.482422824444445,6.543294015555489,0.0038259558334008403,1.0192200687724644,1.4093364593166056,3.9636272709437605,0,0,2,52.04880439932458
external_2025-09_s3,2025-09,3,oldest_stack_2,fixed_pair,1440,0,0,"(0, 1)",0,1,,1800,16.307938074223745,822.3199283111926,50.42451869564969,0.007242165000000001,7.482422824444445,6.543634204722217,0.0037563983331589945,0.5929888258463494,0.8566531631735053,3.6143891531588537,0,0,2,56.13302320521325
external_2025-09_s3,2025-09,3,oldest_stack_2,health_greedy,1440,0,0,"(0, 1)",0,1,,1800,16.307938074223745,822.3199283111926,50.42451869564969,0.007242165000000001,7.482422824444445,6.543634204722217,0.0037563983331589945,0.5929888258463494,0.8566531631735053,3.6143891531588537,0,0,2,56.014983605826274
external_2025-09_s3,2025-09,3,oldest_stack_0,fixed_pair,1440,0,0,"(1, 0)",1,0,,1800,16.257283160252303,822.3199283111926,50.58163287219454,0.007237474444444444,7.486002402221899,6.547041652499717,0.0036578966666267476,0.6697600973009505,0.9484218639388224,3.6143979608867056,0,0,2,55.76672309800051
external_2025-09_s3,2025-09,3,oldest_stack_0,health_greedy,1440,0,0,"(1, 2)",1,2,,1800,16.307935451699624,822.3199283111926,50.42452680455575,0.007595329444444445,7.482422824444445,6.5434599163889295,0.0039352744443510446,0.5929924617020536,0.8566578690482395,3.6143980881815594,0,0,2,56.88570789806545
external_2025-09_s3,2025-09,3,oldest_stack_1,fixed_pair,1440,0,0,"(0, 1)",0,1,,1800,16.244203713045497,821.9736247822951,50.601041411600825,0.007049322500000001,7.486057930278205,6.55075507722265,0.003635105833760477,0.6930064605439409,0.9677527342596731,3.295840697051162,0,0,2,57.40916940988973
external_2025-09_s3,2025-09,3,oldest_stack_1,health_greedy,1440,0,0,"(2, 0)",2,0,,1800,16.311179542065098,822.9503783253392,50.453149399957404,0.007346430000000001,7.482422824444445,6.5433531191666,0.003766852222289341,0.5993128530500331,0.8593822821372469,3.614403043257923,0,0,2,57.55240349820815
external_2025-10_s1,2025-10,1,oldest_stack_2,fixed_pair,1440,0,0,"(0, 1)",0,1,,1800,16.233143603546527,819.1499190851312,50.4615704198026,0.007495095000000001,7.482422824444445,6.543505804722216,0.003880928333158895,0.5516910149056019,0.8001324352272725,3.2448988651509083,0,0,2,72.62811339600012
external_2025-10_s1,2025-10,1,oldest_stack_2,health_greedy,1440,0,0,"(0, 1)",0,1,,1800,16.233143603546527,819.1499190851312,50.4615704198026,0.007495095000000001,7.482422824444445,6.543505804722216,0.003880928333158895,0.5516910149056019,0.8001324352272725,3.2448988651509083,0,0,2,71.65001389500685
