load_source,continuous_multiplier,start_stop_multiplier,load_shift_multiplier,n_pairs,mean_beam_minus_average_pct,ci95_pct,mean_relative_pct,beam_lower_share
real_block_bootstrap,1.0,2.0,2.0,10,-0.0006606326666666668,0.000837212384210769,-7.514176536897871,0.8
synthetic_event_markov,1.0,2.0,2.0,10,-9.545591666666568e-05,0.00011336863721802981,-1.0310678761833565,0.8
real_block_bootstrap,1.0,2.0,4.0,10,-0.000885972666666667,0.0008431678293897559,-9.297496176209387,0.8
synthetic_event_markov,1.0,2.0,4.0,10,-0.00018559191666666692,0.00022327303657109626,-1.8112664028125895,0.8
real_block_bootstrap,1.0,4.0,0.25,10,-0.0008946601666666657,0.001691402686831536,-5.408460235444195,0.8
synthetic_event_markov,1.0,4.0,0.25,10,-1.658691666666587e-05,1.7364896114461235e-05,-0.09963221769453579,0.8
real_block_bootstrap,1.0,4.0,0.5,10,-0.0009228276666666672,0.0016890522811936327,-5.564901639589826,0.8
synthetic_event_markov,1.0,4.0,0.5,10,-2.7853916666666783e-05,3.101292032100882e-05,-0.1661326108409389,0.8
real_block_bootstrap,1.0,4.0,1.0,10,-0.0009791626666666659,0.001684751284896399,-5.870134348907632,0.8
synthetic_event_markov,1.0,4.0,1.0,10,-5.038791666666619e-05,5.843842686826849e-05,-0.2963281786670897,0.8
real_block_bootstrap,1.0,4.0,2.0,10,-0.0010918326666666672,0.0016777622344695225,-6.451786400059854,0.8
synthetic_event_markov,1.0,4.0,2.0,10,-9.545591666666604e-05,0.00011336863721802986,-0.5459717654699902,0.8
real_block_bootstrap,1.0,4.0,4.0,10,-0.0013171726666666658,0.0016703194871902625,-7.512382540485204,0.8
synthetic_event_markov,1.0,4.0,4.0,10,-0.00018559191666666605,0.0002232730365710962,-1.0057386407647588,0.8
real_block_bootstrap,2.0,0.25,0.25,10,-9.025283333333333e-05,0.0001126676783588776,-7.556026030416762,0.8
synthetic_event_markov,2.0,0.25,0.25,10,-2.190683333333327e-05,2.1260242071784418e-05,-1.708312414060049,0.8
real_block_bootstrap,2.0,0.25,0.5,10,-0.00011842033333333336,0.00011415116280263761,-9.181525575221826,0.8
