boundary_id,boundary_label,boundary_order,boundary_over_calibration,scenario_id,policy,local_seed,first_gain_change_vs_lzw_h,second_gain_change_vs_lzw_h
195a_5pct_voltage_loss,"195 A, 5% loss",2,1.894180880616048,heterogeneity_gp_re_increased_perm_2,order_blend_50,2,516.0,-136.0
195a_5pct_voltage_loss,"195 A, 5% loss",2,1.894180880616048,heterogeneity_gp_re_increased_perm_2,order_blend_50,3,969.0,152.0
195a_5pct_voltage_loss,"195 A, 5% loss",2,1.894180880616048,heterogeneity_gp_re_increased_perm_2,order_blend_50,4,595.0,-102.0
195a_5pct_voltage_loss,"195 A, 5% loss",2,1.894180880616048,heterogeneity_gp_re_increased_perm_2,order_blend_50,5,821.0,169.0
195a_5pct_voltage_loss,"195 A, 5% loss",2,1.894180880616048,heterogeneity_gp_re_increased_perm_2,order_blend_50,6,657.0,32.0
195a_5pct_voltage_loss,"195 A, 5% loss",2,1.894180880616048,heterogeneity_gp_re_increased_perm_2,order_blend_50,7,596.0,52.0
195a_5pct_voltage_loss,"195 A, 5% loss",2,1.894180880616048,heterogeneity_gp_re_increased_perm_2,order_blend_50,8,580.0,-43.0
195a_5pct_voltage_loss,"195 A, 5% loss",2,1.894180880616048,heterogeneity_gp_re_increased_perm_2,order_blend_50,9,603.0,-20.0
195a_5pct_voltage_loss,"195 A, 5% loss",2,1.894180880616048,heterogeneity_gp_re_increased_perm_2,order_blend_50,10,458.0,5.0
195a_5pct_voltage_loss,"195 A, 5% loss",2,1.894180880616048,heterogeneity_gp_re_increased_perm_2,order_blend_50,11,717.0,144.0
195a_5pct_voltage_loss,"195 A, 5% loss",2,1.894180880616048,heterogeneity_gp_re_increased_perm_2,order_blend_50,12,470.0,-93.0
195a_5pct_voltage_loss,"195 A, 5% loss",2,1.894180880616048,heterogeneity_gp_re_increased_perm_2,order_blend_50,13,920.0,140.0
195a_5pct_voltage_loss,"195 A, 5% loss",2,1.894180880616048,heterogeneity_gp_re_increased_perm_2,order_blend_50,14,705.0,91.0
195a_5pct_voltage_loss,"195 A, 5% loss",2,1.894180880616048,heterogeneity_gp_re_increased_perm_2,order_blend_50,15,964.0,106.0
195a_5pct_voltage_loss,"195 A, 5% loss",2,1.894180880616048,heterogeneity_gp_re_increased_perm_2,order_blend_50,16,633.0,-50.0
195a_5pct_voltage_loss,"195 A, 5% loss",2,1.894180880616048,heterogeneity_gp_re_increased_perm_2,order_blend_50,17,678.0,84.0
195a_5pct_voltage_loss,"195 A, 5% loss",2,1.894180880616048,heterogeneity_gp_re_increased_perm_2,order_blend_50,18,646.0,-77.0
195a_5pct_voltage_loss,"195 A, 5% loss",2,1.894180880616048,heterogeneity_gp_re_increased_perm_2,order_blend_50,19,489.0,-98.0
195a_5pct_voltage_loss,"195 A, 5% loss",2,1.894180880616048,heterogeneity_gp_re_increased_perm_3,order_blend_50,0,2304.0,1134.0
195a_5pct_voltage_loss,"195 A, 5% loss",2,1.894180880616048,heterogeneity_gp_re_increased_perm_3,order_blend_50,1,2616.0,1018.0
195a_5pct_voltage_loss,"195 A, 5% loss",2,1.894180880616048,heterogeneity_gp_re_increased_perm_3,order_blend_50,2,1812.0,242.0
195a_5pct_voltage_loss,"195 A, 5% loss",2,1.894180880616048,heterogeneity_gp_re_increased_perm_3,order_blend_50,3,2042.0,998.0
195a_5pct_voltage_loss,"195 A, 5% loss",2,1.894180880616048,heterogeneity_gp_re_increased_perm_3,order_blend_50,4,2224.0,828.0
195a_5pct_voltage_loss,"195 A, 5% loss",2,1.894180880616048,heterogeneity_gp_re_increased_perm_3,order_blend_50,5,1901.0,926.0
195a_5pct_voltage_loss,"195 A, 5% loss",2,1.894180880616048,heterogeneity_gp_re_increased_perm_3,order_blend_50,6,2456.0,856.0
195a_5pct_voltage_loss,"195 A, 5% loss",2,1.894180880616048,heterogeneity_gp_re_increased_perm_3,order_blend_50,7,2143.0,487.0
