boundary_id,scenario_id,local_seed,policy,effective_policy,first_boundary_gain_h,second_boundary_gain_h,start_count_delta
370a_5pct_voltage_loss,heterogeneity_gp_re_increased_perm_2,18,guarded_blend,order_blend_50,200.0,-93.0,22
370a_5pct_voltage_loss,heterogeneity_gp_re_increased_perm_2,19,guarded_blend,order_blend_50,348.0,42.0,20
370a_5pct_voltage_loss,heterogeneity_gp_re_increased_perm_3,0,guarded_blend,fixed_pair,0.0,0.0,0
370a_5pct_voltage_loss,heterogeneity_gp_re_increased_perm_3,1,guarded_blend,fixed_pair,0.0,0.0,0
370a_5pct_voltage_loss,heterogeneity_gp_re_increased_perm_3,2,guarded_blend,fixed_pair,0.0,0.0,0
370a_5pct_voltage_loss,heterogeneity_gp_re_increased_perm_3,3,guarded_blend,fixed_pair,0.0,0.0,0
370a_5pct_voltage_loss,heterogeneity_gp_re_increased_perm_3,4,guarded_blend,fixed_pair,0.0,0.0,0
370a_5pct_voltage_loss,heterogeneity_gp_re_increased_perm_3,5,guarded_blend,fixed_pair,0.0,0.0,0
370a_5pct_voltage_loss,heterogeneity_gp_re_increased_perm_3,6,guarded_blend,fixed_pair,0.0,0.0,0
370a_5pct_voltage_loss,heterogeneity_gp_re_increased_perm_3,7,guarded_blend,fixed_pair,0.0,0.0,0
370a_5pct_voltage_loss,heterogeneity_gp_re_increased_perm_3,8,guarded_blend,fixed_pair,0.0,0.0,0
370a_5pct_voltage_loss,heterogeneity_gp_re_increased_perm_3,9,guarded_blend,fixed_pair,0.0,0.0,0
370a_5pct_voltage_loss,heterogeneity_gp_re_increased_perm_3,10,guarded_blend,fixed_pair,0.0,0.0,0
370a_5pct_voltage_loss,heterogeneity_gp_re_increased_perm_3,11,guarded_blend,fixed_pair,0.0,0.0,0
370a_5pct_voltage_loss,heterogeneity_gp_re_increased_perm_3,12,guarded_blend,fixed_pair,0.0,0.0,0
370a_5pct_voltage_loss,heterogeneity_gp_re_increased_perm_3,13,guarded_blend,fixed_pair,0.0,0.0,0
370a_5pct_voltage_loss,heterogeneity_gp_re_increased_perm_3,14,guarded_blend,fixed_pair,0.0,0.0,0
370a_5pct_voltage_loss,heterogeneity_gp_re_increased_perm_3,15,guarded_blend,fixed_pair,0.0,0.0,0
370a_5pct_voltage_loss,heterogeneity_gp_re_increased_perm_3,16,guarded_blend,fixed_pair,0.0,0.0,0
370a_5pct_voltage_loss,heterogeneity_gp_re_increased_perm_3,17,guarded_blend,fixed_pair,0.0,0.0,0
370a_5pct_voltage_loss,heterogeneity_gp_re_increased_perm_3,18,guarded_blend,fixed_pair,0.0,0.0,0
370a_5pct_voltage_loss,heterogeneity_gp_re_increased_perm_3,19,guarded_blend,fixed_pair,0.0,0.0,0
195a_5pct_voltage_loss,reference,0,guarded_blend,order_blend_50,1106.0,572.0,84
195a_5pct_voltage_loss,reference,1,guarded_blend,order_blend_50,914.0,769.0,72
195a_5pct_voltage_loss,reference,2,guarded_blend,order_blend_50,886.0,778.0,72
195a_5pct_voltage_loss,reference,3,guarded_blend,order_blend_50,1235.0,541.0,56
195a_5pct_voltage_loss,reference,4,guarded_blend,order_blend_50,1085.0,663.0,86
195a_5pct_voltage_loss,reference,5,guarded_blend,order_blend_50,1012.0,749.0,79
195a_5pct_voltage_loss,reference,6,guarded_blend,order_blend_50,1047.0,710.0,83
195a_5pct_voltage_loss,reference,7,guarded_blend,order_blend_50,974.0,700.0,67
195a_5pct_voltage_loss,reference,8,guarded_blend,order_blend_50,1086.0,522.0,61
195a_5pct_voltage_loss,reference,9,guarded_blend,order_blend_50,1321.0,374.0,65
195a_5pct_voltage_loss,reference,10,guarded_blend,order_blend_50,1143.0,476.0,84
195a_5pct_voltage_loss,reference,11,guarded_blend,order_blend_50,1154.0,405.0,76
195a_5pct_voltage_loss,reference,12,guarded_blend,order_blend_50,1155.0,401.0,68
195a_5pct_voltage_loss,reference,13,guarded_blend,order_blend_50,1011.0,572.0,79
195a_5pct_voltage_loss,reference,14,guarded_blend,order_blend_50,964.0,675.0,87
195a_5pct_voltage_loss,reference,15,guarded_blend,order_blend_50,935.0,927.0,83
195a_5pct_voltage_loss,reference,16,guarded_blend,order_blend_50,1274.0,598.0,55
195a_5pct_voltage_loss,reference,17,guarded_blend,order_blend_50,835.0,795.0,78
195a_5pct_voltage_loss,reference,18,guarded_blend,order_blend_50,1231.0,775.0,78
195a_5pct_voltage_loss,reference,19,guarded_blend,order_blend_50,1075.0,673.0,73
195a_5pct_voltage_loss,heterogeneity_gp_re_increased_perm_2,0,guarded_blend,order_blend_50,714.0,70.0,50
195a_5pct_voltage_loss,heterogeneity_gp_re_increased_perm_2,1,guarded_blend,order_blend_50,924.0,188.0,50
195a_5pct_voltage_loss,heterogeneity_gp_re_increased_perm_2,2,guarded_blend,order_blend_50,516.0,-136.0,52
195a_5pct_voltage_loss,heterogeneity_gp_re_increased_perm_2,3,guarded_blend,order_blend_50,974.0,152.0,54
195a_5pct_voltage_loss,heterogeneity_gp_re_increased_perm_2,4,guarded_blend,order_blend_50,640.0,-100.0,56
195a_5pct_voltage_loss,heterogeneity_gp_re_increased_perm_2,5,guarded_blend,order_blend_50,846.0,89.0,52
195a_5pct_voltage_loss,heterogeneity_gp_re_increased_perm_2,6,guarded_blend,order_blend_50,731.0,0.0,58
195a_5pct_voltage_loss,heterogeneity_gp_re_increased_perm_2,7,guarded_blend,order_blend_50,681.0,31.0,50
195a_5pct_voltage_loss,heterogeneity_gp_re_increased_perm_2,8,guarded_blend,order_blend_50,714.0,-18.0,48
195a_5pct_voltage_loss,heterogeneity_gp_re_increased_perm_2,9,guarded_blend,order_blend_50,608.0,-13.0,48
195a_5pct_voltage_loss,heterogeneity_gp_re_increased_perm_2,10,guarded_blend,order_blend_50,458.0,5.0,34
195a_5pct_voltage_loss,heterogeneity_gp_re_increased_perm_2,11,guarded_blend,order_blend_50,762.0,61.0,50
195a_5pct_voltage_loss,heterogeneity_gp_re_increased_perm_2,12,guarded_blend,order_blend_50,516.0,-89.0,50
195a_5pct_voltage_loss,heterogeneity_gp_re_increased_perm_2,13,guarded_blend,order_blend_50,1121.0,142.0,62
195a_5pct_voltage_loss,heterogeneity_gp_re_increased_perm_2,14,guarded_blend,order_blend_50,730.0,-61.0,52
195a_5pct_voltage_loss,heterogeneity_gp_re_increased_perm_2,15,guarded_blend,order_blend_50,983.0,104.0,56
195a_5pct_voltage_loss,heterogeneity_gp_re_increased_perm_2,16,guarded_blend,order_blend_50,633.0,-50.0,46
